कौन-सा क्रियाकलाप भूमि पर संपादित होता है ?,वन्य जीवन,खाद्य उत्पादन,आर्थिक क्रियाकलाप,इनमें सभी,d
भारत में कुल भूमि संसाधन का कितना प्रतिशत भाग मैदानी क्षेत्र है ?,27%,30%,43%,50%,c
पर्वतीय क्षेत्र भारत के भूमि संसाधन का कितना प्रतिशत है ?,27%,30%,43%,50%,b
भारत का पठारी भूभाग भूमि संसाधन का कितना प्रतिशत है ?,27%,30%,43%,50%,a
मृदा किसका एक महत्त्वपूर्ण घटक है ?,पारिस्थितिकी,प्रकाश,पैसा,पर्यटन,a
मृदा निर्माण में कितने वर्ष लगते हैं ?,कुछ महीने,कुछ साल,लाखों वर्ष,कुछ हफ्ते,c
मृदा निर्माण की प्रक्रिया को कौन-सा तत्व प्रभावित करता है ?,धराकृति,पवन,वनस्पति,उपरोक्त सभी,d
मृदा निर्माण में जैविक और अजैविक कौन-कौन से पदार्थ भाग लेते हैं ?,केवल जैविक पदार्थ,केवल अजैविक पदार्थ,दोनों जैव और अजैव पदार्थ,किसी का नहीं,c
मृदा निर्माण के लिए कौन-सा परिवर्तन जरूरी है ?,केवल भौतिक परिवर्तन,केवल रासायनिक परिवर्तन,भौतिक और रासायनिक दोनों परिवर्तन,केवल तापमान परिवर्तन,c
भारत की मृदा का अध्ययन किसके आधार पर किया जा सकता है ?,भौतिक गुण,रासायनिक गुण,आयु और गहराई,उपरोक्त सभी,d
मृदा निर्माण मूलतः कैसे होता है ?,जल प्रवाह,तापमान परिवर्तन,चट्टानों का टूटना,हिमनद का कार्य,c
भारत में जलोढ़ मृदा का मुख्य रूप से प्रसार कहाँ है ?,उत्तर भारत,पश्चिम भारत,दक्षिण भारत,पूर्वी भारत,a
किस नदी प्रणाली द्वारा उत्तर भारत का मैदान जलोढ़ से निर्मित हुआ है ?,गंगा,ब्रह्मपुत्र,सिंधु,उपरोक्त सभी,d
जलोढ़ मृदा के किस प्रकार में कंकड़ और बजरी की अधिकता होती है ?,नवीन जलोढ़,पुराना जलोढ़,नई और पुरानी,किसी में नहीं,b
'खादर' मृदा में मुख्यतः बालू के साथ कौन-सा तत्व होता है ?,लोहा,सिल्ट,मृत्तिका,कंकड़,c
जलोढ़ मृदा में कौन-से तत्व की कमी होती है ?,पोटाश,नाइट्रोजन,चूना,फास्फोरस,b 
जलोढ़ मृदा किस प्रकार की फसलों के लिए उपयुक्त मानी जाती है ?,गन्ना,चावल,गेहूँ,उपरोक्त सभी,d
भारत में काली मृदा का रंग क्यों काला होता है ?,लौह यौगिक और एल्युमीनियम के कारण,एल्युमीनियम के कारण,पोटाश और कार्बन के कारण,मिठास के कारण,a
काली मृदा को 'काली कपासी मृदा' क्यों कहा जाता है ?,कपास की खेती के लिए उपयुक्त होने के कारण,रंग के कारण,पोटाश की अधिकता के कारण,पानी धारण क्षमता के कारण,a
काली मृदा का निर्माण किस से हुआ है ?,ग्रेनाइट,ज्वालामुखी लावा,रवेदार चट्टानें,लौह यौगिक,b
काली मृदा में कौन-सा पौष्टिक तत्त्व कम होता है ?,पोटाश,नाइट्रोजन,मैग्नीशियम,फास्फोरस,d
लाल एवं पीली मृदा का प्रसार कहाँ अधिक है ?,पंजाब,महाराष्ट्र,तमिलनाडु,गोवा,c
लाल एवं पीली मृदा का रंग किसके कारण लाल होता है ?,लौहांश,पोटाश,चूना,कैल्शियम,a
लाल एवं पीली मृदा का विस्तार इनमें से कहाँ है ?,तमिलनाडु,गोवा,कर्नाटका,उपरोक्त सभी,d
लाल एवं पीली मृदा किस प्रकार की चट्टानों से उत्पन्न हुई है ?,रवेदार आग्नेय चट्टानों से,संगठित शैलों से,धातु युक्त चट्टानों से,मृत्तिका से,a
लाल एवं पीली मृदा में किसकी कमी होती है ?,पोटाश,नाइट्रोजन,जैव पदार्थ,चूना,c
लैटेराइट मृदा का मुख्य कारण क्या है ?,उच्च तापमान और अत्यधिक वर्षा,अल्प वर्षा और अत्यधिक तापमान,सर्दी और बर्फबारी,धूप और नमी,a
लैटेराइट मृदा का रंग किसके कारण लाल होता है ?,एल्युमीनियम और लोहे के आक्साईड,कैल्शियम,पोटाश और सोडियम,मैग्नीशियम और कार्बन,a
लैटेराइट मृदा का विस्तार कहाँ पाया जाता है ?,कर्नाटका,केरल,तमिलनाडु,उपरोक्त सभी,d
लैटेराइट मृदा में किसकी कमी होती है ?,ह्यूमस,कैल्शियम,पोटाश,मैग्नीशियम,a
मरूस्थलीय मृदा का रंग क्या होता है ?,काला और भूरा,लाल या हल्का भूरा,सफेद और पीला,गुलाबी और हल्का लाल,b 
मरूस्थलीय मृदा में उर्वरकों की कमी क्यों होती है ?,सिंचाई की कमी के कारण,उपयुक्त वर्षा नहीं होती,पानी का अपक्षय बहुत ज्यादा होता है,जैव पदार्थ की कमी के कारण,d
पर्वतीय मृदा का मुख्य कारण क्या है ?,पर्वतीय क्षेत्रों में वर्षा,पठारी क्षेत्र में तापमान,ज्वालामुखीय गतिविधियाँ,नदियों द्वारा अपक्षय,a
पर्वतीय मृदा का वितरण कहाँ होता है ?,नदी घाटियों और ऊँचे भागों में,शुष्क क्षेत्रों में,रेगिस्तान में,शहरों में,a
पर्वतीय मृदा में कौन-सी विशेषताएँ होती हैं ?,जलवायु और वनस्पति की विविधता,सिंचाई की कमी,कड़ी चट्टानों का प्रभुत्व,पानी का अभाव,a
पर्वतीय मृदा का प्रमुख उपयोग क्या है ?,फल बगान,चाय और कहवा का उत्पादन,कपास की खेती,सभी उपर्युक्त,b
भारत में मरूस्थलीय मृदा का प्रमुख क्षेत्र कहाँ है ?,राजस्थान,पंजाब,उत्तर प्रदेश,केरल,a
भारत में कुल भौगोलिक क्षेत्रफल कितना है ?,32.8 लाख वर्ग कि.मी.,25 लाख वर्ग कि.मी.,20 लाख वर्ग कि.मी.,15 लाख वर्ग कि.मी.,a
जम्मू-कश्मीर में भू-उपयोग आँकड़ा क्यों अनुपलब्ध है ?,राजनीतिक कारण,पाक अधिकृत भूमि,चीन अधिकृत भूमि,पाक एवं चीन दोनों अधिकृत भूमि,d
भारत में कितने प्रतिशत भूभाग का भूमि-उपयोग आँकड़ा उपलब्ध है ?,93%,95%,90%,85%,a
किस वर्ष राष्ट्रीय वन नीति बनाई गई थी ?,1952,1962,1947,1972,a
पर्यावरण संतुलन के लिए भूभाग पर कम से कम कितना प्रतिशत वन होना चाहिए ?,25%,33%,40%,50%,b
भारत में वन का विस्तार वर्तमान में कितना प्रतिशत है ?,15%,20%,25%,30%,b
मृदा के स्थानांतरण की प्रक्रिया को क्या कहते हैं ?,भू-संरक्षण,भूमि विकास,भू-क्षरण,जल संचयन,c
भू-क्षरण का प्रमुख कारण क्या है ?,वनों की कटाई,वायु,जल प्रवाह,सभी,d
भारत में भू-क्षरण से लगभग कितने हेक्टेयर भूमि का नुकसान हुआ है ?,10 करोड़,12 करोड़,13 करोड़,15 करोड़,c
सिंचाई के कारण भूमि निम्नीकरण कहाँ अधिक हुआ है ?,राजस्थान,पंजाब,मध्य प्रदेश,गुजरात,b
किस राज्य में वनोन्मूलन से भूमि निम्नीकरण हुआ है ?,पंजाब,उड़ीसा,गुजरात,राजस्थान,b
अति पशुचारण से भूमि निम्नीकरण किन राज्यों में हुआ है ?,पंजाब और हरियाणा,गुजरात और राजस्थान,मध्य प्रदेश और उड़ीसा,सभी,b
अधिक सिंचाई से भूमि में कौन सी समस्या उत्पन्न होती है ?,जलाक्रांतता,अति उपजाऊ,खेत कटाव,खनिज कमी,a
मृदा संरक्षण के लिए कौन सा उपाय उपयुक्त नहीं है ?,फसल चक्रण,जैविक खाद,रासायनिक खाद,समोच्च जुताई,c
पवन अपरदन को रोकने के लिए कौन सा उपाय श्रेयस्कर है ?,वृक्षारोपण,पट्टिका कृषि,पानी का संरक्षण,खनन नियंत्रण,b
समोच्च जुताई का उपयोग किस क्षेत्र में होता है ?,मैदानी क्षेत्र,पहाड़ी क्षेत्र,रेगिस्तानी क्षेत्र,शहरी क्षेत्र,b
जैविक खाद के उपयोग से क्या लाभ होता है ?,मृदा की गुणवत्ता बढ़ती है,जल संरक्षण होता है,मिट्टी की जलधारण क्षमता बढ़ती है,सभी,d
खदानों के कारण किन राज्यों में भूमि निम्नीकरण हुआ है ?,झारखंड और छत्तीसगढ़,मध्य प्रदेश और उड़ीसा,राजस्थान और गुजरात,सभी,a
मृदा संरक्षण के लिए वृक्षारोपण क्यों आवश्यक है ?,मिट्टी को रोके,जलधारण,ह्यूमस बढ़ाए,सभी,d
वर्तमान में भारत में कितने प्रतिशत भूमि कृषि योग्य है ?,40%,50%,54%,60%,c
शुद्ध बोयी गई भूमि का प्रतिशत किन राज्यों में सर्वाधिक है ?,पंजाब और हरियाणा,राजस्थान और गुजरात,बिहार और झारखंड,असम और मिजोरम,a
भारत के किन राज्यों में शुद्ध बोयी भूमि का प्रतिशत 10% से कम है ?,हरियाणा और पंजाब,मिजोरम और मणिपुर,राजस्थान और मध्य प्रदेश,महाराष्ट्र और गुजरात,b
