विश्व की कुल जल मात्रा का कितना प्रतिशत महासागरों में पाया जाता है ?,96.5%,75.6%,25.4%,50%,a
पृथ्वी की सतह का कितने प्रतिशत भाग जल से ढका है ?,एक-तिहाई,आधा,तीन-चौथाई,दो-तिहाई,c
पृथ्वी को "नीला ग्रह" क्यों कहा जाता है ?,महासागरों के कारण,भूमिगत जल के कारण,ज्वालामुखी के कारण,वायुमंडल के कारण,a
विश्व के कुल अलवणीय जल का कितना प्रतिशत हिमनदों और बर्फ की चादरों में पाया जाता है ?,25%,50%,75%,90%,c
'जलधि' किसे कहा जाता है ?,नदी,झील,महासागर,वर्षा,c
भारत में विश्व के कुल स्वच्छ जल का कितना प्रतिशत उपलब्ध है ?,16%,4%,20%,10%,b
भारत में प्रति वर्ष कुल कितना जल भू-पृष्ठीय स्रोतों से प्राप्त होता है ?,1869 घन कि.मी.,4000 घन कि.मी.,690 घन कि.मी.,174 घनमीटर,a
ताप्ती नदी की जल भंडारण क्षमता कितनी प्रतिशत है ?,97%,50%,75%,90%,a
भारत में सर्वाधिक भूमिगत जल कहाँ पाया जाता है ?,महाराष्ट्र,उत्तर प्रदेश,तमिलनाडु,पंजाब,b
'जल चक्र' का प्रमुख उद्देश्य क्या है ?,जल का अपवाह,जल का नवीकरण,जल का संग्रहण,जल का वाष्पीकरण,b
भारत में स्थलाकृति स्वरूप और अन्य बाधाओं के कारण पृष्ठीय जल प्रवाह का कितने प्रतिशत उपयोग किया जा सकता है ?,100%,50%,32%,25%,c
गंगा द्रोणी में कुल उपयोग योग्य जल भंडारण की क्षमता कितनी है ?,690 अरब घन मीटर,250 अरब घन मीटर,174 अरब घन मीटर,5250 अरब घन मीटर,b
विश्व में कुल अलवणीय जल का कितना प्रतिशत भूमिगत स्रोतों में है ?,10%,25%,50%,75%,b
दक्षिणी गोलार्ध को किस नाम से जाना जाता है ?,स्थल गोलार्ध,जल गोलार्ध,मत्स्य गोलार्ध,भू गोलार्ध,b
