भारत में कृषि का योगदान राष्ट्रीय आय में कितना है ?,15%,20%,24%,30%,c
शस्य गहनता क्या है ?,भूमि में उगाई जाने वाली फसलों की संख्या,भूमि की गुणवत्ता,एक ही कृषि वर्ष में फसल की बारंबारता,उत्पादन वृद्धि,c
भारत के किस राज्य में शस्य गहनता सबसे अधिक है ?,उत्तर प्रदेश,बिहार,पंजाब,महाराष्ट्र,c
भारत में किस प्रकार की भूमि कृषि के लिए उपयुक्त है ?,जलोढ़ भूमि,ऊसर भूमि,शुष्क भूमि,बंजर भूमि,a
वर्षा की पर्याप्तता के आधार पर कौन सा कृषि प्रकार होता है ?,वर्षाधीन कृषि,शुष्क भूमि कृषि,आर्द्र भूमि कृषि,सूखा पोषित कृषि,c
किस वर्षा की सीमा में शुष्क भूमि कृषि होती है ?,75 सेंटीमीटर से कम,75 से 100 सेंटीमीटर,100 से 150 सेंटीमीटर,150 सेंटीमीटर से अधिक,a
वर्षाधीन कृषि भारत में कितने भूमि पर होती है ?,44.32%,78.56%,33.67%,20.89%,c
भारत किस फसल के उत्पादन में भारत अग्रणी है ?,गन्ना,रबर,गेहूँ,संतरा,a
कौन मुख्य रूप से 'उद्यमिता' से संबंधित है ?,कृषि,कानून,जलवायु,निवेश,d
किस योजना से मुख्यतः शुष्क भूमि कृषि के लिए सहायता प्राप्त होती है ?,राष्ट्रीय कृषि योजना,सूखा प्रवण क्षेत्र विकास कार्यक्रम,कृषि सुधार योजना,जलवायु परिवर्तन योजना,b
शुष्क भूमि कृषि में जल का मुख्य स्रोत होता है -,पशुपालन,सिंचाई,कुआँ,वर्षा,d
कृषि में किसान के लिए भूमि का क्या सामाजिक महत्त्व है ?,केवल उत्पादन,उर्वरक,प्रतिष्ठा,सिंचाई,c
मुख्यतः किस कारक से शुष्क भूमि कृषि में परेशानी आती है ?,गर्मी,वर्षा की कमी,खाद,उन्नत बीज,b
प्रारंभिक जीविका कृषि में किस प्रकार के औजारों का उपयोग होता है ?,परंपरागत औजार,आधुनिक औजार,दोनों,कोई नहीं,a  
कर्तन दहन प्रणाली किस प्रकार की कृषि का उदाहरण है ?,गहन कृषि,प्रारंभिक जीविका कृषि,वाणिज्यिक कृषि,रोपण कृषि,b  
झूम कृषि मुख्य रूप से किस क्षेत्र में की जाती है ?,उत्तर प्रदेश,मध्य भारत,पश्चिमी भारत,उत्तर-पूर्वी राज्य,d 
गहन जीविका कृषि में भूमि की उर्वरता बनाए रखने के लिए मुख्य रूप से किसका उपयोग होता है ?,आधुनिक ज्ञान,परंपरागत ज्ञान,विज्ञान तकनीक,भगवान भरोसे,b  
गहन जीविका कृषि किस मुख्य फसल पर केंद्रित है ?,चाय,गेहूँ,धान,कपास,c  
व्यापारिक कृषि में फसलों का उत्पादन किस उद्देश्य से किया जाता है ?,जीविका के लिए,खपत के लिए,बेचने के लिए,सामाजिक उपयोग के लिए,c  
हरित क्रांति के परिणामस्वरूप किस कृषि पद्धति को अपनाया गया ?,गहन जीविका कृषि,रोपण कृषि,व्यापारिक कृषि,प्रारंभिक जीविका कृषि,c  
रोपण कृषि का मुख्य उद्देश्य क्या है ?,सामाजिक सेवा,जीविका,उद्योग के लिए कच्चा माल,जल संरक्षण,c  
भारत में चाय का प्रमुख उत्पादक क्षेत्र कौन सा है ?,पंजाब,असम,केरल,कर्नाटक,b  
रबी फसल की बुवाई किस समय होती है ?,अप्रैल-जून,जुलाई-अगस्त,अक्टूबर-दिसंबर,जनवरी-फरवरी,c  
खरीफ फसल मुख्य रूप से किस ऋतु में बोई जाती है ?,ग्रीष्म ऋतु,जाड़ा ऋतु,वर्षा ऋतु,बसंत ऋतु,c  
जायद फसल मुख्यतः किस समय बोई जाती है ?,खरीफ और रबी के बीच,खरीफ के बाद,रबी के पहले,कभी भी,a  
हरित क्रांति का सबसे अधिक प्रभाव किस फसल पर पड़ा ?,जूट,धान,गेहूँ,कपास,c  
खरीफ फसल का मुख्य उदाहरण क्या है ?,गेहूँ,धान,मसूर,सरसों,b  
भारत में बासमती चावल उत्पादन मुख्य रूप से कहाँ होता है ?,तमिलनाडु और पंजाब,पंजाब और हरियाणा,पश्चिम बंगाल,महाराष्ट्र और बिहार,b  
