आपदा प्रबंधन को कितने चरणों में लागू करने की जरूरत होती है ?,2,3,4,6,a
किस प्रबंधन का उद्देश्य संभावित आपदा के प्रभाव को कम करना है ?,आकस्मिक प्रबंधन,अल्पकालिक प्रबंधन,दीर्घकालिक प्रबंधन,रक्षा प्रबंधन,c
बाढ़ की स्थिति में आकस्मिक प्रबंधन का सर्वप्रमुख उद्देश्य क्या होता है?,बाढ़ रोकना,लोगों को बचाना,मवेशियों को बचाना,खाद्य सामग्री की व्यवस्था,b
बाढ़ के समय सुरक्षित स्थान कहाँ हो सकता है?,ऊँची भूमि,बाढ़ वाला क्षेत्र,जलाशय,मैदान,a
बाढ़ के दौरान महामारी से बचने के लिए क्या करना चाहिए?,ठंडा पानी पीना,गर्म जल और भोजन की व्यवस्था,प्लास्टिक का उपयोग,खुले में रहना,b
भूकंप के बाद प्राथमिक कार्य क्या होता है?,गंदगी साफ करना,पानी की व्यवस्था करना,मकान बनाना,लोगों को राहत कैंप पहुँचाना,d 
भूकंप के समय मलबे के नीचे दबे जीवित लोगों को पहचानने के लिए कौन-सी तकनीक मुख्य रूप से मदद करती है?,बायो रडार,Sonar,सैटेलाइट,टेलीफोन,a
सुनामी में घायल लोगों को सबसे पहले क्या करना चाहिए?,प्राथमिक उपचार,मकान बनाना,राहत कैम्प ले जाना,फोटो खींचना,a
आग लगने पर प्राथमिक उपचार में घायलों को राहत के लिए कौन-सी दवा उपयोगी है?,बैंडेज,ओआरएस,बरनोल,डिटर्जेंट,c 
आग के फैलाव को रोकने के लिए क्या करना चाहिए?,झाड़ू अथवा लाठी का उपयोग,मिट्टी हटाना,रेत और पानी का उपयोग,पंखा और फूँक से हवा देना,c 
विद्युत शॉर्ट सर्किट से लगी आग में सबसे पहले क्या करना चाहिए?,पानी डालना,मिट्टी डालना,मिस्त्री को बुलाना,बिजली लाइन काटना,d 
आपदा में बचाव कर्मियों के लिए निजी उपकरण में क्या शामिल है?,सीटी,गम-बूट,टॉर्च,उपरोक्त सभी,d
आपदा में बचाव दल के लिए प्रमुख उपकरण क्या है?,थर्मामीटर,रस्सी,बैंडेज,साबुन,b
आकस्मिक प्रबंधन के घटक कौन-कौन से हैं?,गाँव के लोग,स्वयंसेवी संगठन,स्थानीय प्रशासन,उपरोक्त सभी,d
आपदा प्रबंधन में स्वयंसेवी संस्थाओं का मुख्य कार्य क्या है?,घरों की सफाई करना,जल आपूर्ति करना,लोगों को प्रशिक्षित करना,पैसे देना,c 
भूकंप के बाद महामारी से बचने के लिए क्या किया जाता है?,गर्म पानी पीना,मलबा हटाना,दवा छिड़कना,उपरोक्त सभी,d
आग लगने पर ऊँचाई पर फँसे व्यक्ति को कैसे बचाना चाहिए?,सीढ़ी लगाकर,हवा मारकर,मिट्टी डालकर,चमड़े के थैले से,a
राहतकर्मियों के लिए प्राथमिक उपचार के सामानों में क्या शामिल है?,गम-बूट,लाइफ जैकेट,सीटी,एंटासिड,d 
बाढ़ के समय सुरक्षित स्थान पर सर्वप्रथम किसकी व्यवस्था आवश्यक है?,मनोरंजन,पेयजल और चारा,प्लास्टिक और किताब,टॉर्च और कपड़े,b
सुनामी के समय खोए हुए व्यक्तियों को खोजने के लिए किसकी सहायता लेना सबसे उपयोगी है?,पुलिस,नौसेना,पंचायत,शिक्षक,b
मलबे में दबे हुए व्यक्ति को पहचानने के लिए क्या उपयोगी है?,डॉग स्क्वाड,इंफ्रारेड कैमरा,बायो रडार,उपरोक्त सभी,d
बचाव कार्य में प्राथमिक उपचार के सामान में कौन शामिल नहीं है ?,साबुन,रुई,सीढ़ी,थर्मामीटर,c
आग लगने पर प्राथमिक चिकित्सा में क्या करना उपयोगी है ?,बर्फ लगाना,बैंडेज करना,बरनोल लगाना,उपरोक्त सभी,d
बाढ़ के समय रबर के गुब्बारे का उपयोग किस लिए किया जाता है?,खेलने के लिए,कपड़े के रूप में,खाद्य सामग्री रखने के लिए,पानी में तैरने के लिए,d
आपदा में स्थानीय प्रशासन की मुख्य भूमिका क्या है?,राहत शिविर बनाना,स्कूल बनाना,पुलिस भेजना,फिल्म दिखाना,a
आग लगने से झुग्गियों को बचाने के लिए क्या उपाय किया जाना सबसे उपयोगी है?,पानी से भींगा देना,मिट्टी डालना,झुग्गियों को हटाना,झाड़ू लगाना,c 
ओ० आर० एस० पैकेट किस में शामिल है ?,बचाव कर्मियों के निजी उपकरण,बचाव दल के उपकरण,प्राथमिक उपचार के सामान,इनमे से कोई नहीं,c
आपदा के समय किस तरह का भेद-भाव करना चाहिए ?,लिंग,जाति,सम्प्रदाय,किसी का नहीं,d
आग को बुझाने के लिए कौन सा उपकरण बहुत उपयोगी है ?,पंखा,अग्निशामक,लाईटर,माचिस,b
आपदा प्रबंधन में बचाव कर्मियों के निजी उपकरण में क्या शामिल है ?,सीढी,रस्सी,साबुन,हेलमेट,d 
