विनिर्माण उद्योग का मुख्य उद्देश्य क्या है?,कच्चा माल बनाना,कच्चे माल से वस्तुएँ बनाना,बाजार तैयार करना,कृषि में सुधार करना,b
भारत में आधुनिक औद्योगिक विकास का प्रारंभ कब से माना जाता ?,1854 में,1855 में,1951 में,1947 में,a
भारत में प्रथम जूट का कारखाना 1855 में कहाँ स्थापित हुआ?,मुम्बई के निकट थाने,कोलकाता के निकट रिशरा,दिल्ली,चेन्नई के निकट कल्पक्कम,b
भारी उद्योग का उदाहरण क्या है?,सिलाई मशीन उद्योग,इलेक्ट्रॉनिक उपकरण उद्योग,लोहा एवं इस्पात उद्योग,रेशमी वस्त्र उद्योग,c
लघु उद्योग का सबसे अच्छा उदाहरण है -,कागज उद्योग,साइकिल निर्माण,आभूषण निर्माण,टेलीविजन निर्माण,c
सरकार द्वारा संचालित उद्योगों को क्या कहा जाता है?,संयुक्त उद्योग,सार्वजनिक उद्योग,लघु उद्योग,कृषि आधारित उद्योग,b
हल्के उद्योग में किस प्रकार के कच्चे माल का उपयोग होता है?,भारी कच्चा माल,आयातित कच्चा माल,स्थानीय कच्चा माल,हल्का कच्चा माल,d 
ऑयल इंडिया लिमिटेड किस प्रकार के उद्योग का उदाहरण है?,सार्वजनिक उद्योग,संयुक्त उद्योग,कृषि आधारित उद्योग,घरेलू उद्योग,b
कृषि आधारित उद्योग का उदाहरण क्या है?,लोहा इस्पात उद्योग,इलेक्ट्रॉनिक उपकरण उद्योग,रेशमी वस्त्र उद्योग,साइकिल निर्माण,c
BHEL का पूर्ण रूप है -,Bharat High Energy Lighting,Business House for Energy Logistics,Basic Heating Equipment Ltd.,Bharat Heavy Electricals Limited,d
भारत में पहली सफल सूती मिल कब स्थापित की गई थी ?,1818,1854,1900,1947,b
भारत का सबसे बड़ा उद्योग कौन सा है ?,सूती वस्त्र उद्योग,जूट उद्योग,ऊनी वस्त्र उद्योग,रेशमी वस्त्र उद्योग,a
सूती वस्त्र उद्योग में कुल श्रमिकों का कितना प्रतिशत हिस्सा है ?,10%,15%,20%,25%,c
भारत में सूती वस्त्र उद्योग का स्थान औद्योगिक उत्पादन में कितना प्रतिशत है ?,10%,12%,14%,16%,c
वर्तमान में सूती वस्त्र उद्योग का सकल घरेलू उत्पादन में कितना योगदान है ?,2%,3%,4%,5%,c
भारत में कितनी सूती मिलें हैं ?,1600,1700,1800,1900,a
भारतीय सूती वस्त्र उद्योग के प्रमुख केन्द्र कौन से हैं ?,हाबड़ा,मुर्शिदाबाद,चेन्नई,सभी,d
