भारत में परिवहन के लिए निम्नलिखित में से कौन-से साधन उपलब्ध हैं?,सड़कमार्ग और रेलमार्ग,जलमार्ग और वायुमार्ग,पाइपलाइन और रज्जूमार्ग,उपरोक्त सभी,d
भारत में सड़कमार्ग की कुल लंबाई लगभग कितनी है?,24 लाख किलोमीटर,33 लाख किलोमीटर,53 लाख किलोमीटर,40 लाख किलोमीटर,b
ग्रैंड ट्रंक रोड का निर्माण किसके द्वारा किया गया था?,अकबर,शेरशाह सूरी,चंद्रगुप्त मौर्य,अशोक,b
स्वर्णिम चतुर्भुज राजमार्ग योजना में कितनी लेनवाली सड़कों का निर्माण कार्य जारी है ?,दो,तीन,चार,छह,d
राष्ट्रीय राजमार्ग संख्या-7 की कुल लंबाई कितनी है?,1565 किमी,2369 किमी,1458 किमी,2000 किमी,b
सड़क विकास की नागपुर योजना के तहत सड़कों को कितने प्रकारों में बांटा गया है?,दो,तीन,चार,पाँच,c
निम्नलिखित मे भारत में सबसे पुरानी सड़क कौन सी है?,ग्रैंड ट्रंक रोड,राष्ट्रीय राजमार्ग संख्या-1,राष्ट्रीय राजमार्ग संख्या-7,एक्स्प्रेस वे,a
महाराष्ट्र में पक्की सड़कों की कुल लंबाई कितनी है?,1.5 लाख किमी,2.70 लाख किमी,3.2 लाख किमी,1 लाख किमी,b
भारत में कहाँ प्रति 100 वर्ग किमी में सड़कों का घनत्व सबसे अधिक है?,केरल,गोवा,पंजाब,दिल्ली,d
पाइपलाइन का उपयोग मुख्य रूप से किसके लिए किया जाता है?,खनिज परिवहन,दैनिक यातायात,गैस और तेल परिवहन,माल ढुलाई,c
सीमांत सड़कों का रखरखाव कौन करता है?,राज्य सरकार,केंद्र सरकार,सीमा सड़क संगठन,सार्वजनिक निर्माण विभाग,c
स्वर्णिम चतुर्भुज योजना किन चार महानगरों को जोड़ती है?,"दिल्ली, मुंबई, कोलकाता और चेन्नई","बेंगलुरु, हैदराबाद, पुणे और सूरत","दिल्ली, लखनऊ, पटना और भोपाल","चेन्नई, त्रिवेंद्रम, पुणे और दिल्ली",a
राष्ट्रीय राजमार्गों का कितना प्रतिशत देश की कुल सड़कों की लंबाई है?,10%,5%,2%,15%,c
राष्ट्रीय राजमार्ग पर सबसे अधिक घटनाएँ क्यों होती हैं?,गाड़ियों की धीमी गति,गाड़ियों की तीव्र गति,गाड़ियों की खराब स्थिति,सड़कें खराब होती हैं,b
भारत में सड़कों के विकास का आरंभिक प्रमाण किस सभ्यता से मिलता है?,वैदिक सभ्यता,मौर्यकालीन सभ्यता,हड़प्पा सभ्यता,गुप्त काल,c
राष्ट्रीय राजमार्ग संख्या-7 किसे जोड़ता है?,दिल्ली से कोलकाता,वाराणसी से कन्याकुमारी,अमृतसर से लेह,मुंबई से चेन्नई,b
राज्य राजमार्गों का निर्माण और देखरेख किसके द्वारा किया जाता है?,केंद्र सरकार,राज्य सरकार,निजी कंपनियाँ,पंचायत,b
दिल्ली में प्रति 100 वर्ग किमी क्षेत्र में सड़कों का घनत्व कितना है?,387 किमी,6895 किमी,1176 किमी,17381 किमी,d
राष्ट्रीय राजमार्ग संख्या-2 कहाँ तक फैला है?,दिल्ली से मुंबई,दिल्ली से कोलकाता,कोलकाता से चेन्नई,दिल्ली से बेंगलुरु,b
सीमांत सड़कों का निर्माण किस उद्देश्य से किया जाता है?,पर्यटन को बढ़ावा देना,गाँवों को जोड़ना,सैनिक सामग्रियों की आपूर्ति,आर्थिक विकास,c
भारत में सबसे कम लंबाई वाली पक्की सड़कें कहाँ हैं?,दमन और दीव,लक्षद्वीप,सिक्किम,मिज़ोरम,b
केरल में प्रति 100 वर्ग किमी क्षेत्र में सड़कों का घनत्व कितना है?,127 किमी,222 किमी,387 किमी,402 किमी,c
भारत का पहला अंतर्राष्ट्रीय स्तर का राजमार्ग कौन सा है?,कोलकाता-दमदम राजमार्ग,अहमदाबाद राजमार्ग,मुंबई-पुणे राजमार्ग,मुंबई-गोवा राजमार्ग,c
प्रधानमंत्री ग्रामीण सड़क योजना का उद्देश्य क्या है?,गाँवों को रोजगार देना,गाँवों को सड़कों से जोड़ना,सड़कों का रख-रखाव करना,ग्रामीण पर्यटन को बढ़ावा देना,b
राष्ट्रीय राजमार्ग विकास परियोजना के तहत किन गलियारों का निर्माण हो रहा है?,पूरब-पश्चिम और उत्तर-दक्षिण गलियारा,उत्तर-पश्चिमी और पूर्वी गलियारा,उत्तर-दक्षिण और दक्षिण-मध्य गलियारा,उपरोक्त सभी,a
सड़कमार्ग परिवहन की मुख्य विशेषता क्या है?,धीमी गति,खर्चीला,सस्ता और सरल,केवल मैदानी क्षेत्रों में उपयोगी,c
भारत की 80% सड़कें कौन सी है ?,राष्टीय राज्यमार्ग,राज्य राजमार्ग,जिला सड़कें,ग्रामीण सड़कें,d
जिला सड़के देश के कुल सड़कों का कितना भाग है ?,2%,4%,14%,80%,c
उत्तर-पूर्वी राज्यों में किस राज्य में सड़कों का घनत्व सबसे अधिक है ?,मेघालय,त्रिपुरा,नागालैंड,मणिपुर,b
पूरब-पश्चिम गलियारा की कुल लंबी कितनी प्रस्तावित है ?,2396 किमी,4016 किमी,3640 किमी,1460 किमी,c
भारत में पहली रेलगाड़ी कब चली थी?,16 अप्रैल 1853,15 अगस्त 1857,26 जनवरी 1861,2 अक्टूबर 1869,a
पहली रेलगाड़ी कहाँ से कहाँ तक चली थी?,दिल्ली से आगरा,मुंबई से ठाणे,कोलकाता से हुगली,चेन्नई से मदुरै,b
भारतीय रेलवे में सबसे बड़ा रेल क्षेत्र कौन सा है?,पश्चिम रेलवे,उत्तर रेलवे,दक्षिण रेलवे,मध्य रेलवे,b
2010 तक भारतीय रेलवे को कितने क्षेत्रों (Zones) में बाँटा गया था?,10,14,16,20,c
कौन सा रेल क्षेत्र सबसे छोटा है?,उत्तर-पूर्वी सीमांत रेलवे,दक्षिण-मध्य रेलवे,मध्य रेलवे,पश्चिम-मध्य रेलवे,a
भारतीय रेल में कुल रेलमार्ग की लंबाई 2006-07 में कितनी थी?,54 हजार 214 किमी,60 हजार 182 किमी,63 हजार 327 किमी,70 हजार 410 किमी,c
कोंकण रेल परियोजना की कुल लंबाई कितनी है?,760 किमी,700 किमी,800 किमी,850 किमी,a
कोंकण रेलमार्ग पर सबसे लंबी सुरंग किसके निकट है?,मुंबई,रत्नागिरी,गोवा,मंगलौर,b
भारत की पहली भूमिगत रेल सेवा कहाँ शुरू की गई?,मुंबई,दिल्ली,कोलकाता,चेन्नई,c
शाही रेलगाड़ी 'पैलेस ऑन व्हील्स' कहाँ चलती है?,महाराष्ट्र,राजस्थान,पश्चिम बंगाल,उत्तर प्रदेश,b
भारतीय रेल में बड़ी गेज लाइन की आमीन लंबाई कितनी होती है?,1676 मिमी,1000 मिमी,2140 मिमी,1780 मिमी,a
2010 तक बड़ी लाइन की लंबाई भारतीय रेलमार्ग की कुल लंबाई का कितना प्रतिशत थी ?,50%,60%,74%,80%,c
कौन सा राज्य पूर्वोत्तर भारत में बिना रेलमार्ग वाला राज्य है?,मणिपुर,त्रिपुरा,नगालैंड,मेघालय,d
विश्व की पहली चलंत अस्पताल ट्रेन कौन सी है?,जीवन रेखा,संकल्प,आयुष,जीवन वे,a
मानवरहित रेलवे समपार फाटक पार करने का पहला चरण क्या है?,देखिए,रुकिए,सुनिए,जाइए,b
2006-07 में भारतीय रेलवे द्वारा राजस्व अर्जक माल की ढुलाई कितनी थी?,52.46 करोड़ टन,60.47 करोड़ टन,72.76 करोड़ टन,80 करोड़ टन,c
भारतीय रेल प्रणाली एशिया में आकार के हिसाब से कौन से स्थान पर है?,पहले,दूसरे,तीसरे,चौथे,a
भारतीय रेल की विद्युत रेलगाड़ियों का विश्व में स्थान कौन सा है?,पहला,दूसरा,तीसरा,चौथा,b
भारतीय रेल में डीजल इंजन की संख्या 2006 तक कितनी थी?,3188,4793,6909,8153,b
डेक्कन ओडिसी रेलगाड़ी किस राज्य में चलाई जाती है?,राजस्थान,महाराष्ट्र,कर्नाटक,तमिलनाडु,b
1950-51 में भारतीय रेल से यात्रा करने वाले यात्रियों की संख्या कितनी थी?,1 अरब,1.28 अरब,6 अरब,5.5 अरब,b
भारत में पाइपलाइन का भविष्य किस उद्योग पर निर्भर है ?,वस्त्र और भोजन,सड़क और खनिज,पेट्रोलियम एवं प्राकृतिक गैस,चीनी और रेशम,c 
भारत में पाइपलाइन का कुल विस्तार 1985 में कितना था ?,6535 किलोमीटर,12346 किलोमीटर,27410 किलोमीटर,18546 किलोमीटर,a
कच्चे तेल पाइपलाइन का मुख्य उद्देश्य क्या है ?,उत्पादन क्षेत्रों से शोधनशालाओं तक,शोधनशालाओं से बाजार तक,उपरोक्त दोनों,अन्य,a
गैस उत्पाद पाइपलाइन किसके द्वारा संचालित किया जाता है ?,इंडियन आयल,गेल,भारत पेट्रोलियम,रिलायंस,b
भारतीय गैस प्राधिकरण लिमिटेड का मुख्य कार्य क्या है ?,गैस पाइपलाइन संचालन,तेल परिवहन,गैस निष्कासन,गैस प्रसंस्करण,a
हजीरा-बीजापुर-जगदीशपुर गैस पाइपलाइन कितनी लंबी है ?,2012 किलोमीटर,1547 किलोमीटर,1730 किलोमीटर,1000 किलोमीटर,c
लोह अयस्क के परिवहन के लिए कौन सी पाइपलाइन प्रसिद्ध है ?,कुंद्रेमुख-मंगलौर पाइपलाइन,कोच्चि-कारूर पाइपलाइन,सिलीगुड़ी-बरौनी पाइपलाइन,गुजरात पाइपलाइन,a
वायुमार्ग परिवहन का एक लाभ क्या है ?,कम समय में यात्रा,सस्ते यात्रा विकल्प,स्थानीय परिवहन में वृद्धि,सभी,a
भारत में वायु परिवहन की शुरुआत कब हुई थी ?,1911,1933,1950,1947,a
इंडियन नेशनल एयरवेज की स्थापना कब हुई थी ?,1933,1947,1953,1950,a
भारत में वायु परिवहन का राष्ट्रीयकरण कब हुआ ?,1950,1947,1953,1955,c
भारत में कितने हवाई अड्डे हैं ?,500,640,450,100,c
भारत में कौन सी निजी एयरलाइन है ?,एयर इंडिया,जेट एयरवेज,इंडियन एयरलाइंस,ऑल नाइट एयरलाइंस,b
8 दिसम्बर 2005 से 'इंडियन एयरलाइंस' किस नाम से जाना जाने लगा है ?,एयर इंडिया,डेक्कन एयरलाइंस,इंडियन,जेट एयरवेज,c
भारत में पवन हंस हेलिकॉप्टर लिमिटेड द्वारा हेलिकॉप्टर सेवा कब से दी जा रही है ?,1990,2000,1985,1975,c
भारत में अंतर्राष्ट्रीय विमान सेवा का भार किसको सौंपा गया ?,जेट एयरवेज,एयर इंडिया,इंडियन एयरलाइंस,सहारा एयरलाइंस,b 
वायु परिवहन के कारण दूरी का क्या महत्त्व है ?,कम हो गया,बढ़ गया,वैसा ही रहा,अस्पष्ट,a
2007-08 में भारतीय विमानन प्राधिकरण द्वारा कितनी उड़ानों का प्रबंधन किया गया था ?,11.63 लाख,17.74 लाख,20.96 लाख,13.08 लाख,d
भारत के कितने प्रमुख आंतरिक जलमार्ग राष्ट्रीय जलमार्ग घोषित किए गए हैं ?,2,5,7,10,b
राष्ट्रीय जलमार्ग संख्या-1 की लंबाई कितनी है ?,1620 किलोमीटर,1730 किलोमीटर,1540 किलोमीटर,1860 किलोमीटर,a
राष्ट्रीय जलमार्ग संख्या-2 किस नदी पर विकसित है ?,गंगा,नर्मदा,ब्रह्मपुत्र,गोदावरी,c
राष्ट्रीय जलमार्ग संख्या-3 की लंबाई कितनी है ?,205 किलोमीटर,310 किलोमीटर,250 किलोमीटर,305 किलोमीटर,a
राष्ट्रीय जलमार्ग संख्या-4 किन नदियों के सहारे फैला है ?,गंगा और यमुना,नर्मदा और तापी,कावेरी और ताप्ती,गोदावरी और कृष्णा,d 
भारत की तटीय सीमा की लंबाई कितनी है ?,1818 किमी,4637 किमी,7517 किमी,9637 किमी,c
भारत में आंतरिक जलमार्ग परिवहन किसके द्वारा नियंत्रित किया जाता है ?,नदी परिवहन समिति,भारतीय बंदरगाह संघ,भारतीय अंतर्देशीय जलमार्ग प्राधिकरण,वाणिज्य मंत्रालय,c 
संचार का क्या अर्थ है ?,सूचना का बढ़ना,संदेशों की रिकॉर्डिंग,संदेशों का आदान-प्रदान,किसी विषय पर बहस,c 
प्राचीन काल में संदेश भेजने के साधन में शामिल है ?,टेलीफोन,ताली,रेडियो,इंटरनेट,b
आधुनिक समय में संचार के किस साधन की आवश्यकता बढ़ी है ?,पत्र,टेलीफोन,डाक सेवा,कबूतर,b
भारत में संचार के निम्नलिखित में से कौन सा साधन विकसित किया गया है ?,डाक सेवा,टेलीग्राम,इंटरनेट,उपरोक्त सभी,d
भारत में डाक सेवा कब शुरू हुई थी ?,1854,1823,1837,1876,c
भारतीय डाक विभाग की स्थापना कब हुई थी ?,1854,1890,1857,1923,a
