प्राकृतिक आपदा किसे कहा जाता है?,मनुष्य द्वारा बनाई गई समस्या,प्राकृतिक व्यवस्था में उत्पन्न व्यवधान,सिर्फ भूकंप,सिर्फ बाढ़,b
सुनामी का मुख्य कारण क्या है?,समुद्र में भूस्खलन,ज्वालामुखी विस्फोट,समुद्र में भूकंप,चक्रवात,c
बाढ़ किसे कहते हैं?,समुद्र में पानी का बढ़ना,नदी के जल का आसपास के क्षेत्रों में फैलना,पानी का अचानक सूख जाना,केवल आसपास के क्षेत्रों में मौसम परिवर्तन का असर,b
रिक्टर स्केल का उपयोग किसके लिए किया जाता है?,तापमान मापन,जल स्तर मापन,भूकंप मापन,हवा की गति मापन,c
‘बिहार का शोक’ किसे कहा जाता है?,गंगा नदी,चंबल नदी,यमुना नदी,कोसी नदी,d
सूखाड़ की स्थिति कब मानी जाती है?,औसत वर्षा में 10% से अधिक की कमी,औसत वर्षा में 25% से अधिक की कमी,औसत वर्षा में 50% से अधिक की कमी,औसत वर्षा में 75% से अधिक की कमी,b
1934 में बिहार में किस प्रकार की आपदा आई थी?,सुनामी,भू-स्खलन,सुखाड़,भूकंप,d
हिमालयी क्षेत्रों में भू-स्खलन का मुख्य कारण क्या है?,तीव्र ढाल,कम वर्षा,वनों की कटाई,मृदा का क्षरण,a 
भारत में सुनामी की विनाशकारी घटना कब हुई थी?,27 जनवरी 2004,17 मई 2004,16 अगस्त 2004,26 दिसंबर 2004,d 
चक्रवात का सबसे ज्यादा प्रभाव भारत में कहाँ होता है?,पूर्वोत्तर भारत,उत्तर भारत,पूर्वी तट,पश्चिमोत्तर भारत,c 
भूकंप निरोधी भवनों के लिए कौन-सी आकृति को प्राथमिकता दी गई है ?,वृत्ताकार,आयताकार,त्रिकोणीय,गोलाकार,b
सुखाड़ प्रबंधन में कौन-सी गतिविधि उपयोगी है?,पेट्रोल पंप खोलना,शहर निर्माण,नहर का निर्माण,बिजली संयंत्र लगाना,c
कोसी नदी को 'बिहार का शोक' क्यों कहा जाता है?,वर्षा की कमी,सुखाड़ का कारण,बाढ़ और विनाश,जमीन का कटाव,c
हिमस्खलन मुख्यतः कहाँ घटित होता है?,मैदानी क्षेत्र,पर्वतीय क्षेत्र,समुद्री क्षेत्र,मरुस्थली क्षेत्र,b
प्राकृतिक आपदा प्रबंधन का मूल उद्देश्य क्या है?,आपदा के प्रभाव को कम करना,सभी को डराना,आपदा को रोकना,सभी पीड़ितों को खाद्य सामग्री देना,a
1934 के भूकंप से बिहार में क्या हुआ?,नदी का बहाव बदलना,सुखाड़ की स्थिति,वनों की कटाई,जमीन का फटना,d
आपदा प्रबंधन में पंचायत का मुख्य कार्य क्या है?,भवन निर्माण,रोजगार सृजन,संसाधनों का प्रबंधन,आपदा को रोकना,c
प्राकृतिक आपदा से विकास कार्यों पर क्या प्रभाव पड़ता है?,रुकावट आती है,तेजी आती है,कोई प्रभाव नहीं,नया निर्माण होता है,a
भारत में हिमस्खलन मुख्यतः किस राज्य में होता है?,राजस्थान,हिमाचल प्रदेश,केरल,गुजरात,b
चक्रवात से बचाव के लिए कौन-सा कदम सबसे आवश्यक है?,भवन निर्माण में सहायता करना,खेतों की देखभाल और सिंचाई,सुरक्षित तटीय क्षेत्रों की पहचान,मजबूत सड़कों का निर्माण,c
आपदा प्रबंधन में आम लोगों की भूमिका क्या है?,मूक दर्शक बनना,सहायता करना,सरकार पर निर्भर रहना,भाग जाना,b
कोसी नदी की धारा कब बदल गई थी जिससे बिहार में भयंकर बाढ़ आया था ?,2001,2006,2008,2010,c
भूकंप मापन के लिए कौन-सा यंत्र उपयोग होता है?,बैरोमीटर,सेस्मोग्राफ,थर्मामीटर,हाईड्रोमीटर,b
भारत के प्रमुख सुखाड़ वर्ष में कौन-सा शामिल है?,2007,2011,1979,1966,d
1999 में भारत में चक्रवात कब आया था ?,1 जनवरी,7 अप्रैल,4 सितम्बर,29 अक्टूबर,d 
कौन सी प्राकृतिक आपदा बिहार के लोगों के लिए स्थाई घटना है ?,बाढ़,भूकंप,भू-स्खलन,सूनामी,a 
सामान्यतः कितने सेमी से कम वर्षा वाले क्षेत्र में प्रतिवर्ष सुखाड़ की स्थिति उत्पन्न होती है ?,75,50,100,60,b
इनमें से कौन मानव जनित आपदा है ?,भूकंप,ओलावृष्टि,आतंकवाद,बाढ़,c 
निम्नलिखित में से कौन प्राकृतिक आपदा है ?,आतंकवाद,दंगे,विश्व युद्ध,भू-स्खलन,d
इनमें से आपदा प्रबंधन में क्या मुख्य रूप से शामिल नहीं है ?,खतरे की पूर्व जानकारी देना,संसाधन उपलब्ध कराना,आम लोगों की सहभागिता,संचार के साधनों पर रोक लगाना,d 
