बाढ़ और सुखाड़ का सीधा संबंध किससे है?,मौसम से,वर्षा से,आग से,बर्फ से,b  
"जब मॉनसूनी वर्षा अत्यधिक होती है, तो क्या स्थिति उत्पन्न होती है?",सुखाड़,सामान्य स्थिति,बाढ़,चक्रवात,c
भारत के किस राज्य में कोसी नदी बाढ़ के लिए बदनाम है?,पश्चिम बंगाल,बिहार,उड़ीसा,असम,b  
दामोदर और तिस्ता नदी बाढ़ की समस्या के लिए किस राज्य में प्रसिद्ध हैं?,असम,पश्चिम बंगाल,गुजरात,उड़ीसा,b  
कोसी नदी की धारा किस वर्ष तटबंध टूटने से बदल गई थी?,2006,2007,2008,2010,c  
बांग्लादेश को किस नाम से जाना जाता है?,सुखाड़ का देश,बाढ़ का देश,पर्वतों का देश,रेगिस्तान का देश,b  
बाढ़ का कौन सा सकारात्मक प्रभाव है?,फसल की बर्बादी,मकानों का गिरना,महामारी फैलना,जलोढ़ मलबों का निक्षेपण,d
गोविन्द सागर जलाशय किस बाँध से संबंधित है?,रिहन्द बाँध,नर्मदा बाँध,भाखड़ा नंगल बाँध,नागार्जुनसागर बाँध,c  
सरदार सरोवर जलाशय किस नदी पर स्थित है?,कृष्णा,कावेरी,सतलज,नर्मदा,d  
सबसे ऊँचा बाँध किस नदी पर स्थित है?,गंगा,पद्मा,नील,मिसीसिपी,c  
बाढ़ से बचने के लिए मकानों की नदी से दूरी कम से कम कितनी होनी चाहिए?,100 मीटर,150 मीटर,200 मीटर,250 मीटर,d  
बाढ़ से बचने के लिए कौन सा मकान निर्माण उपयुक्त है?,स्तंभ आधारित मकान,फूस का मकान,मिट्टी का मकान,पक्के ईंट का मकान,a  
बाढ़ पूर्व सूचना प्रबंधन के लिए किस तकनीक का उपयोग सबसे उपयुक्त है?,हवाई जहाज,सुदूर संवेदन,कंप्यूटर,स्मार्टफोन,b  
बाढ़ के बाद प्रमुखतः कौन सी समस्या होती है?,भूमि की उर्वरता में कमी,जल की कमी,महामारी फैलने का डर,सड़कें टूटना,c  
बाढ़ के बाद मुख्य रूप से किसका छिड़काव किया जाता है?,डी० डी० टी०,तेल,फर्टिलाइजर,पेंट,a  
2008 में भारत-नेपाल की सीमा पर किस जगह के पास बांध टूटने से कोसी नदी की धारा ही बदल गई थी ?,ओमपुर,आलमनगर,कुसहा,इंद्रपुर,c  
कृष्णा सागर जलाशय किस नदी पर स्थित है?,कृष्णा,सतलज,कावेरी,रिहन्द,c  
बाढ़ के समय सहायता के लिए क्या अनिवार्य है?,खाद्य आपूर्ति,संचार सुविधा,डॉक्टर और दवाइयाँ,सभी,d  
नागार्जुन सागर जलाशय किस नदी पर स्थित है?,नर्मदा,कृष्णा,सतलज,कावेरी,b  
बाढ़ प्रभावित क्षेत्रों के लोगों को क्या प्रशिक्षण दिया जाना चाहिए?,मकान निर्माण,तैराकी,खेत में काम,गाड़ी चलाना,b  
क्यों अक्सर बाढ़ प्रभावित क्षेत्रों में घनी आबादी देखने को मिलती है ?,भूमि की उर्वरता,नांव परिवहन,बाढ़ के साथ आई मछलियाँ,जंगली जानवरों का नहीं रहना,a
सुखाड़ की स्थिति का मुख्य कारण क्या है?,भारी वर्षा,मौसम का ठंडा होना,वर्षा की भारी कमी,नदियों में बाढ़,c
सुखाड़ के कारण आम लोगों को मुख्यतः कौन सी समस्या नहीं होती है?,फसल न लगने से खाद्यान्न की कमी,पेयजल की कमी,मवेशियों के लिए चारे की कमी,मकानों का गिरना,d
भारत में सामान्यतः सुखाड़ग्रस्त जिलों की संख्या कितनी पहचानी है?,57,67,77,87,c
भारत के किस राज्य में सुखाड़ की समस्या अधिक होती है?,राजस्थान,बिहार,पंजाब,केरल,a
भारत में उन्नीसवीं शताब्दी का महत्वपूर्ण सुखाड़ का वर्ष कौन सा था?,1877,1887,1897,1907,a
बीसवीं शताब्दी में किस वर्ष भारत में भयंकर सूखा पड़ा था?,1962,1966,1972,1987,b
सुखाड़ प्रबंधन में नहर का मुख्य उद्देश्य क्या है?,सड़क निर्माण,जलाशयों से जल लाना,पुल निर्माण,विद्युत उत्पादन,b
सिंचाई आयोग के अनुसार भारत के लगभग कितने प्रतिशत भूभाग पर प्रतिवर्ष सुखाड़ की स्थिति उत्पन्न होती है?,10%,12%,14%,16%,d
वर्षा जल संग्रहण का मुख्य उद्देश्य क्या है?,बाढ़ रोकना,जल संरक्षण,फसल की बर्बादी,मकान निर्माण,b
ड्रिप सिंचाई और छिड़काव सिंचाई का मुख्य लाभ क्या है?,जल का अनावश्यक उपयोग,कम जल का सही उपयोग,भूमिगत जल स्तर कम करना,फसल उत्पादन कम करना,b
वर्षा जल संग्रहण तकनीक विशेष रूप से किस क्षेत्र के लिए वरदान है?,बाढ़ग्रस्त क्षेत्र,पर्वतीय क्षेत्र,कम वर्षा वाले क्षेत्र,जंगल क्षेत्र,c
किस राज्य में ड्रिप सिंचाई योजना ग्रामीण विकास का हिस्सा है?,पंजाब,कर्नाटक,तमिलनाडु,उत्तर प्रदेश,b
वाटर शेड प्रबंधन का मुख्य उद्देश्य क्या है?,मृदा क्षरण बढ़ाना,जल स्तर गिराना,भूमिगत जल स्तर बढ़ाना,वनों की कटाई करना,c
नहर का उपयोग मुख्यतः किसके लिए किया जाता है?,वाहन साफ करने के लिए,वन संरक्षण,शहर की सफाई,कृषि कार्य,d 
