सुनामी का मुख्य कारण क्या है ?,स्थलीय भूकंप,तूफान,महासागर की तली में कंपन,पानी का बढ़ना,c 
रिक्टर स्केल का उपयोग किसे मापने के लिए किया जाता है ?,भूकंप की गहनता,वायु दबाव,वृष्टि की तीव्रता,सुनामी की ऊँचाई,a
भारत में भूकंप के कितने क्षेत्र होते हैं ?,7,2,5,3,c
जोन 1 में भूकंप का खतरा कैसा होता है ?,नहीं के बराबर,बहुत अधिक खतरा,मध्यम खतरा,अधिक खतरा,a
भूकंप की स्थिति में मुख्यतः क्या होता है ?,मिट्टी की उर्वरता में कमी,पानी का आस-पास के क्षेत्रों में फैलना,लावारिस आग,भवनों का गिरना,d
भूकंप का मुख्य कारण क्या है ?,मानव गतिविधियाँ,जलवायु,पृथ्वी की आंतरिक संरचना,उपग्रह गतिविधियाँ,c 
रिक्टर स्केल पर प्रत्येक इकाई के बाद क्या होता है ?,गहनता में 3.18 गुना वृद्धि होती है,गहनता में दस गुना वृद्धि होती है,गहनता में कमी होती है,गहनता में एक गुना वृद्धि होती है,b
भारत में भूकंप की गहनता सबसे अधिक किस जोन में होती है ?,जोन 5,जोन 1,जोन 4,जोन 2,a
भूकंप के समय कौन सा तरंग सबसे पहले पृथ्वी की सतह पर पहुँचता है ?,P तरंग,S तरंग,L तरंग,क्षैतिज तरंग,a
L तरंग की विशेषता क्या है ?,यह सबसे बाद में आती है,यह धीमी गति से चलती है,यह सबसे विनाशकारी होती है,उपरोक्त सभी,d
भूकंप के लिए पूर्वानुमान कैसे किया जा सकता है ?,भूकंपलेखी यंत्र से,चाँद से,मौसम से,वायुमंडलीय अध्ययन से,a
भूकंपीय जोन 5 में कौन सा क्षेत्र आता है ?,उत्तरी गुजरात,पश्चिम बंगाल का उत्तरी भाग,सिक्किम,गंगा का मैदान,c
निम्नलिखित में कौन सा प्रदेश भूकंप के अधिक खतरे में है ?,उत्तराखण्ड,पंजाब,उत्तर प्रदेश,मध्य प्रदेश,a
भूकंप के दौरान सबसे सुरक्षित स्थान क्या है ?,खुली खिड़की के पास बैठना,बालकनी में जाना,कमरे के बीच में बैठ जाना,कमरे के कोने में दीवार के पास खड़ा होना,d
S तरंग किसे कहा जाता है ?,द्वितीयक तरंग,पुनरावृत्ति तरंग,गहरी तरंग,प्राथमिक तरंग,a
भूकंप से बचाव के उपायों में से कौन सा उपयुक्त नहीं है ?,भूकंप आने पर बर्फ खाने का निर्देश देना,कमरे के कोने में दीवार के पास खड़ा होना,सुरक्षित स्थान ढूंढना,भूकंप के समय संयम रखना,a
भूपटल के नीचे का वह स्थल जहाँ भूकंपीय कंपन प्रारंभ होता है क्या कहलाता है ?,मुख्य केंद्र,भूकंप केंद्र,प्राथमिक केंद्र,अधिकेन्द्र,b
सुनामी का सबसे अधिक प्रभाव किस क्षेत्र पर पड़ता है ?,पर्वतीय क्षेत्र,तटीय क्षेत्र,मरुस्थलीय क्षेत्र,शहरी क्षेत्र,b
सुनामी से मछुआरों को कैसे बचाया जा सकता है ?,तट पर भेजकर,पानी के अंदर भेजकर,गोल-गोल घूमकर,समुद्र की ओर भेजकर,d
सुनामी तरंगों से बचाव के लिए तटीय क्षेत्र में क्या लगाया जाना चाहिए ?,फूलों के पौधे,मैंग्रोव झाड़ियाँ,दुकान,फसलें,b
सुनामी से बचाव के लिए तटबंध का क्या उपयोग है ?,तरंगों की गति रोकने के लिए,तरंगों को तेज करने के लिए,तरंगों को समुद्र में भेजने के लिए,तरंगों को आकर्षित करने के लिए,a
सुनामी के समय अगर तट पर हो तो क्या करना चाहिए ?,स्थिर रहना,तट पर रुकना,तट छोड़कर भागना,तैरना,c
भूपटल पर वे केंद्र जहाँ भूकंप के तरंग का सर्वप्रथम अनुभव होता है क्या कहलाता है ?,बहुकेंद्र,भूकेंद्र,अधिकेन्द्र,पटल केंद्र,c
दार्जिलिंग भूकंप के किस जोन में आता है ?,जोन 1,जोन 3,जोन 4,जोन 5,d 
बिहार में बीसवी शताब्दी में करीब कितने बार भूकंप के तीव्र झटके अनुभव किए गये है ?,10,20,40,78,b
बिहार भूकंप के किस जोन में आता है ?,जोन 2,जोन 3,जोन 1,जोन 5,b 
सुनामी कहाँ सबसे ज्यादा खतरनाक होती है ?,समुद्र के बीच में,जहाँ से उत्पन्न हुई है,तट पर,इनमें से की नहीं,c 
"26 दिसंबर, 2004 को कहाँ भयंकर सुनामी आई थी ?",प्रशांत महासागर,अरब सागर,अटलांटिक महासागर,बंगाल की खाड़ी,d
कौन सी भूकंपीय तरंग क्षैतिज रूप से चलती है ?,P तरंग,S तरंग,L तरंग,Z तरंग,c
गंगा-सिंधु का मैदान भूकंप के किस जोन में आता है ?,जोन 1,जोन 4,जोन 5,जोन 3,d
