बिहार की अधिकतर चीनी मिलें किस क्षेत्र में विकसित हैं?,उत्तर,उत्तरी-पश्चिमी,दक्षिणी-पूर्वी,दक्षिणी-पश्चिमी,b
बिहार में ग्यारहवीं योजना अवधि के दौरान किस पर विशेष बल दिया गया?,चावल उत्पादन,जूट उत्पादन,ईख उत्पादन,तम्बाकू उत्पादन,c
बिहार में कितनी चीनी मिलें 2006-07 में कार्यरत थीं?,29,15,9,20,c
बिहार में लघु उद्योग द्वारा 2007-08 में कितने मानव दिवस रोजगार सृजित किया गया?,4.5 लाख,5.5 लाख,6 लाख,7 लाख,b
बिहार में किस जिले में जूट उद्योग सबसे अधिक सक्रिय है?,कटिहार,पूर्णिया,दरभंगा,मुजफ्फरपुर,a
बिहार में दलहन की मिलें किस क्षेत्र में अधिक विकसित हैं?,तराई क्षेत्र,दक्षिण-पश्चिम बिहार,गंगा के तटीय जिले,मगध प्रमंडल,c
भारत की पहली चीनी मिल 1840 में मोबितिया में किसने स्थापित की थी?,अंग्रेज,डच कम्पनी,फ्रेंच कम्पनी,भारतीय,b
बिहार में बीड़ी उद्योग के लिए तेंदू के पत्ते कहाँ से प्राप्त होते हैं?,उत्तर प्रदेश,पश्चिम बंगाल,ओडिशा,झारखंड,d
बिहार में गेहूं आधारित उत्पाद के लिए कौन-सा जिला प्रमुख है?,पटना,भागलपुर,दरभंगा,मधेपुरा,a
बिहार में 2007-08 के अनुसार बड़ी और मंझोली औद्योगिक इकाइयों की संख्या कितनी है?,122,262,487,1070,b
बिहार में चावल की अधिक मिलें किस जिले में हैं?,भोजपुर,रोहतास,पूर्वी चंपारण,इनमें से सभी,d
बिहार में कुल कितनी तेल मिलें हैं (सरकार के प्रतिवेदन अनुसार)?,400,500,600,700,b
बिहार में चीनी उद्योग में गिरावट कब से देखी गई?,1950,1970,1960,1980,c
बिहार में तम्बाकू उद्योग के बीड़ी कारखाने प्रमुखतः कहाँ हैं?,मुंगेर और गया,सुपौल और भागलपुर,दरभंगा और सारण,रोहतास और भोजपुर,a
