बिहार की कितनी प्रतिशत जनसंख्या कृषि पर निर्भर है?,70%,80%,90%,60%,b
अगहनी फसल को अन्य किस नाम से जाना जाता है?,भदई,गरमा,रबी,खरीफ,d
भदई फसल की शुरुआत किस महीने से होती है?,मई-जून,अगस्त-सितंबर,अक्टूबर-नवंबर,जनवरी-फरवरी,a
बिहार की सबसे महत्वपूर्ण फसल कौन सी है?,गन्ना,धान,जौ,जूट,b
रबी फसल को काटने का समय क्या है?,जून-जुलाई,अगस्त-सितंबर,अप्रैल,दिसंबर,c
गरमा फसल को किस क्षेत्र में लगाया जाता है?,पर्वतीय क्षेत्र,सिंचाई सुविधा वाले क्षेत्र,शुष्क क्षेत्र,सभी क्षेत्रों में,b
बिहार की प्रमुख खाद्यान्न फसलें कौन-कौन सी हैं?,धान और गन्ना,जूट और गेहूँ,धान और गेहूँ,जौ और बाजरा,c
धान का सबसे अधिक उत्पादन बिहार के किस जिले में होता है?,गया,औरंगाबाद,पश्चिमी चंपारण,पटना,c
2006-07 में बिहार में गेहूँ के उत्पादन क्षेत्रफल में सबसे अधिक कौन सा जिला था ?,रोहतास,गया,पश्चिमी चंपारण,सहरसा,a
बिहार में मक्का की खेती किन फसलों में होती है?,"भदई, रबी और खरीफ","केवल भदई","भदई, अगहनी, रबी और गरमा",केवल गरमा,c
मोटे अनाज का उत्पादन में प्रथम स्थान पर कौन सा जिला है?,मधुबनी,किशनगंज,पटना,पूर्णिया,a
तेलहन उत्पादन में प्रथम स्थान किस जिले का है?,पूर्णिया,बेगूसराय,पश्चिम चंपारण,सहरसा,c
दलहन उत्पादन में सबसे आगे कौन सा जिला है?,पटना,औरंगाबाद,कैमूर,रोहतास,a
गन्ने के उत्पादन में बिहार का प्रथम जिला कौन सा है?,गोपालगंज,पूर्वी चंपारण,पश्चिमी चंपारण,दरभंगा,c
जूट का सबसे अधिक उत्पादन बिहार के किस क्षेत्र में होता है?,पश्चिमी चंपारण,दरभंगा,उत्तर-पूर्वी क्षेत्र,दक्षिणी क्षेत्र,c
तम्बाकू उत्पादन में बिहार का भारत में कौन सा स्थान है?,चौथा,तीसरा,छठा,पहला,c
बिहार में आलू उत्पादन में कौन से जिले प्रमुख हैं?,पटना और रोहतास,पटना और नालंदा,गया और नालंदा,पटना और भागलपुर,b
प्याज का उत्पादन किन जिलों में सबसे अधिक होता है?,पटना और नवादा,पटना और नालंदा,गया और नवादा,पटना और जहानाबाद,b
बिहार में मिर्च की खेती कहाँ की जाती है?,पर्वतीय क्षेत्रों में,शुष्क क्षेत्रों में,निम्न भूमि में,दियारा क्षेत्रों में,d
लीची उत्पादन के लिए कौन सा जिला प्रसिद्ध है?,भागलपुर,मुजफ्फरपुर,वैशाली,समस्तीपुर,b
मखाने के लिए प्रसिद्ध जिले कौन से हैं?,पूर्णिया और सहरसा,मधुबनी और दरभंगा,मुजफ्फरपुर और वैशाली,पटना और भागलपुर,b
बिहार में केले के उत्पादन के लिए कौन से जिले प्रमुख हैं?,पटना और भागलपुर,वैशाली और खगड़िया,गया और जहानाबाद,मुजफ्फरपुर और सहरसा,b
बिहार की सबसे प्रमुख सब्जी कौन सी है?,प्याज,लहसुन,आलू,पालक,c
किस कारण से बिहार में मिट्टी की गुणवत्ता में ह्रास हो रहा है?,वर्षा,रासायनिक खाद,शहरीकरण,कृषि तकनीक,b
खेतों का आकार छोटा होने से क्या समस्या होती है?,उपज शून्य,वैज्ञानिक खेती में कठिनाई,नौकरी की समस्या,बेरोजगारी,b
किस कारण से बिहार में कृषि उत्पादन अन्य राज्यों से कम है?,आधुनिक तकनीक,विकसित सिंचाई प्रणाली,खराब बीज,कम मजदूर,c 
कृषि में किस आदत के कारण बिहार के किसान कम उत्पादन कर पाते हैं?,रूढ़िवादिता,नौकरी,स्मार्ट खेती,मशीनों का इस्तेमाल,a
बिहार में सिंचाई के लिए सर्वप्रमुख साधन क्या है?,नलकूप,पम्प,तालाब,नहर,d 
बिहार में कुल सिंचित भूमि का कितना प्रतिशत भाग नहरों द्वारा सिंचित होता है?,30.51%,50%,40.63%,60.23%,c
बिहार में सिंचाई के लिए नहरों का निर्माण कब से शुरू हुआ था?,1874,1903,1980,1990,a
बिहार में सबसे पुरानी नहर कौन सी है?,गण्डक नहर,सोन नहर,कोसी नहर,सारण नहर,b
