संसाधन का क्या अर्थ है ?,केवल प्राकृतिक वस्तुएं,मानव जीवन को उपयोगी बनाने वाली कोई भी वस्तु,केवल जैविक पदार्थ,केवल खनिज पदार्थ,b
संसाधन किसके माध्यम से जीवनोपयोगी बनते हैं ?,मानव संसाधन,तकनीक,प्राकृतिक आपदा,जलवायु परिवर्तन,b
"'संसाधन होते नहीं, बनते हैं' यह कथन किस भूगोलविद् का है ?",मैक्सवेल,जिम्मरमैन,हेनरी लोव,विलियम हर्सचेल,b
संसाधन किससे जुड़ी एक आर्थिक गतिविधि का हिस्सा हो सकता है ?,संगीत,चित्रकारी,कविता रचना,सभी विकल्प,d
जापान के विकास में मुख्य योगदान क्या है ?,प्राकृतिक संसाधन,मानव संसाधन,कृषि,औद्योगिक उत्पादन,b
संसाधनों का वर्गीकरण निम्नलिखित में से किस आधार पर होता है ?,उपयोगिता के आधार पर,पर्यावरण के आधार पर,देश के आधार पर,प्रकार के आधार पर,a
"'संभवी, विकसित, भंडार, संचित' संसाधनों का वर्गीकरण किस आधार पर होता है ?",उत्पत्ति के आधार पर,विकास की स्थिति के आधार पर,उपयोगिता के आधार पर,स्वामित्व के आधार पर,b
'सामुदायिक संसाधन' पर किस प्रकार का स्वामित्व है ?,किसी समूह का,राष्ट्रीय,सरकार,समाज के सभी लोगों का,d
उत्पत्ति के आधार पर संसाधन के दो प्रकार क्या होते हैं ?,मौलिक संसाधन और अमौलिक संसाधन,भौतिक संसाधन और अभौतिक संसाधन,मानवीय संसाधन और प्राकृतिक संसाधन,जैव संसाधन और अजैव संसाधन,d 
जैव संसाधन किससे प्राप्त होते हैं ?,जैव मंडल,जल,धातु,खनिज,a
अजैव संसाधन किसके समूह को कहते हैं ?,सजीव वस्तुएं,निर्जीव वस्तुएं,सभी विकल्प,कोई नहीं,b
नवीकरणीय संसाधन का उदाहरण क्या है ?,पवन ऊर्जा,जीवाश्म ईंधन,खनिज,कोई नहीं,a
अनवीकरणीय संसाधन का विकास किस प्रकार से होता है ?,लंबी अवधि में जटिल प्रक्रियाओं द्वारा,संक्षिप्त अवधि में,तत्काल,कोई नहीं,a
व्यक्तिगत संसाधन का सरल उदाहरण है ?,सार्वजनिक पार्क,राम का घर,मंदिर,तालाब,b
सामुदायिक संसाधन का उदाहरण क्या है ?,घर,शहरी पार्क,राजीव का तालाब,प्राइवेट बाग,b 
राष्ट्रीय संसाधन के अंतर्गत क्या आता है ?,व्यक्तिगत भूमि,खनिज पदार्थ,वृक्ष,सभी विकल्प,d
अंतर्राष्ट्रीय संसाधन का नियंत्रण कौन करता है ?,एक राष्ट्र,अंतर्राष्ट्रीय संस्था,सरकार,प्राकृतिक तत्व,b
संभावी संसाधन क्या होते हैं ?,अविकसित संसाधन जो बाद में उपयोग किये जा सकते हैं,जो पहले ही उपयोग में आ चुके हैं,जो पहले से विकसित हैं,कोई नहीं,a
विकसित संसाधन क्या होते हैं ?,जो उपयोग के लिए तैयार हैं,जो दुर्लभ हैं,जो भंडारण में होते हैं,कोई नहीं,a
क्या संसाधन किसी देश के विकास में महत्वपूर्ण होते हैं ?,नहीं,हां,सिर्फ जैविक संसाधन,सिर्फ खनिज संसाधन,b
जीवाश्म ईंधन किस प्रकार का संसाधन है ?,नवीकरणीय,अनवीकरणीय,संभावी,विकसित,b
संसाधन नियोजन का मुख्य उद्देश्य क्या है ?,संसाधनों का संरक्षण,संसाधनों का विवेकपूर्ण उपयोग,संसाधनों का सर्वेक्षण,उपरोक्त सभी,d
भारत में किस राज्य में जल संसाधन सबसे प्रचुर मात्रा में उपलब्ध हैं ?,राजस्थान,पंजाब,अरूणाचल प्रदेश,जम्मू और कश्मीर,c
निम्नलिखित में से कौन सा राज्य जल संसाधन की दृष्टि से निर्धन है ?,बिहार,राजस्थान,अरूणाचल प्रदेश,मध्य प्रदेश,b
निम्नलिखित मे संसाधन नियोजन के सोपान में किसका समावेश है ?,केवल जल संसाधन का अवलोकन,संसाधनों का सर्वेक्षण,संसाधनों का अविवेकपूर्ण,संसाधनों का केंद्रीकरण,b
संसाधन संरक्षण का क्या अर्थ है ?,संसाधनों का अविवेकपूर्ण उपयोग,संसाधनों का विवेकपूर्ण उपयोग,संसाधनों का भंडारण,संसाधनों को नष्ट करना,b
'चिपको आंदोलन' किसने शुरू किया था ?,मेधा पाटेकर,सुंदरलाल बहुगुणा,महात्मा गांधी,संदीप पांडेय,b
'नर्मदा बचाओ आंदोलन' के नेता कौन थे ?,महात्मा गांधी,सुंदरलाल बहुगुणा,मेधा पाटेकर,विनोबा भावे,c
1974 में 'स्मॉल इज ब्यूटीफुल' पुस्तक किसने लिखी थी ?,महात्मा गांधी,शुमशेर,सुंदरलाल बहुगुणा,डॉ. एपीजे अब्दुल कलाम,b
1987 में संसाधन-संरक्षण पर क्या रिपोर्ट प्रकाशित हुई थी ?,हमारा साझा भविष्य,ग्लोबल रिपोर्ट,समृद्धि रिपोर्ट,पृथ्वी रिपोर्ट,a
पृथ्वी सम्मेलन 1992 में कहां आयोजित हुआ था ?,न्यूयॉर्क,स्टॉकहोम,रियो-डी-जेनेरो,जोहान्सबर्ग,c
'सतत् विकास' का उद्देश्य क्या है ?,संसाधनों का अत्यधिक दोहन,संसाधन संरक्षण के साथ विकास,विकास के बिना संसाधनों का उपयोग,अव्यवस्थित विकास,b
1972 में पर्यावरण संरक्षण के लिए कौन सा सम्मेलन आयोजित हुआ था ?,स्टॉकहोम सम्मेलन,न्यूयॉर्क सम्मेलन,रियो सम्मेलन,जोहान्सबर्ग सम्मेलन,a
'क्लब ऑफ रोम' ने संसाधन संरक्षण की वकालत कब की ?,1950,1972,1992,1968,d
न्यूयॉर्क में द्वितीय पृथ्वी सम्मेलन कब बुलाया गया ?,1968,1972,1997,2002,c
"'हमारे पास पेट भरने के लिए बहुत कुछ हैं, लेकिन पेटी भरने के लिए नहीं' यह विचार किसका था ?",महात्मा गांधी,मेधा पाटेकर,सुंदरलाल बहुगुणा,डॉ. एपीजे अब्दुल कलाम,a
संसाधन नियोजन के अंतर्गत कौन सा कदम शामिल नहीं है ?,सर्वेक्षण,मापन या आकलन,संसाधनों का शोषण,विकास योजनाओं का समन्वय,c
'संसाधन प्रकृति-प्रदत्त उपहार है' यह धारणा किसने दी थी ?,महात्मा गांधी,मेधा पाटेकर,सुंदरलाल बहुगुणा,संदीप पांडेय,a
संसाधन-संरक्षण के लिए किस प्रकार के सम्मेलन हुए हैं ?,पर्यावरणीय सम्मेलन,पृथ्वी सम्मेलन,जल सम्मेलन,सभी विकल्प,d
तृतीय पृथ्वी सम्मेलन जोहान्सबर्ग में कब आयोजित किया गया ?,1992,1996,2002,2004,c
संसाधनों के दोहन की शोषणात्मक प्रवृत्ति को किस अर्थव्यवस्था के नाम से जाना जाता है ?,लोक अर्थव्यवस्था,डाकूओं की अर्थव्यवस्था,औद्योगिक अर्थव्यवस्था,स्वदेशी अर्थव्यवस्था,b
कार्यक्रम 21 के अंतर्गत कितने कार्यक्रम स्वीकृत किए गए थे ?,10,15,21,25,c
'कार्यक्रम 21' के खर्च हेतु किसकी स्थापना की गई थी ?,विश्व संसाधन कोष,विश्व मुद्रा कोष,विश्व संरक्षण कोष,विश्व पर्यावरण कोष,d 
प्लस-5 सम्मेलन किसे कहा जाता है ?,प्रथम पृथ्वी सम्मेलन,द्वितीय पृथ्वी सम्मेलन,तृतीय पृथ्वी सम्मेलन,क्योटो सम्मेलन,b
क्योटो सम्मेलन कब आयोजित हुआ था ?,1992,1997,2000,2002,b
क्योटो सम्मेलन में कितने देशों ने भाग लिया था ?,159,178,200,150,a
क्योटो सम्मेलन में निम्नलिखित में से किस गैस के उत्सर्जन में कटौती पर सहमति बनी थी ?,CO₂,ऑक्सीजन,नाइट्रोजन,हाइड्रोजन,a
क्योटो सम्मेलन को किस समझौते का विस्तार माना जाता है ?,मॉन्ट्रियल समझौता,पेरिस समझौता,जेनवा समझौता,स्टॉकहोम समझौता,a
क्योटो सम्मेलन में कितनी गैसों को ग्लोबल वार्मिंग के लिए जिम्मेदार माना गया था ?,5,6,7,8,b
'मॉन्ट्रियल समझौता' किस वर्ष हुआ था ?,1985,1987,1990,1992,b
क्योटो सम्मेलन को और किस नाम से जाना जाता है ?,मॉन्ट्रियल समझौता,पेरिस समझौता,विश्व संरक्षण सम्मेलन,ग्रीन हाउस सम्मेलन,d
