उच्चावच निरूपण का तात्पर्य किससे है ?,मानचित्रण की विधि,भू-आकृतियों का अध्ययन,उच्चावच का अध्ययन,नदी का अध्ययन,a 
'V' आकार की घाटी किस कारण बनती है ?,लवणीय वर्षा,नदी का बहाव,भूकंप,बर्फ का जमाव,b
पर्वतीय छायाकरण विधि में प्रकाश किस दिशा से माना जाता है ?,उत्तर-पश्चिम,दक्षिण-पूर्व,पश्चिम,पूर्व,a
'समोच्च रेखाएँ' किसके लिए एक मानक विधि हैं ?,उच्चावच प्रदर्शन,जलवायु परिवर्तन,जनसंख्या वृद्धि,स्थलाकृतिक परिवर्तन,a
समोच्च रेखाओं को किसके आधार पर खींचा जाता है ?,भूगर्भ विज्ञान,जलवायु अध्ययन,नदियों का अध्ययन,क्षेत्र के सर्वेक्षण,d
'समोच्च रेखाओं' का मान क्या दर्शाता है ?,लंबाई,ऊँचाई,चौड़ाई,जल स्रोत,b 
एक समान ढाल को दिखाने के लिए किस प्रकार की समोच्च रेखाएँ खींची जाती है ?,सघन रूप से खींची जाती हैं,समान दूरी पर खींची जाती हैं,दूर-दूर खींची जाती हैं,हल्का रंग प्रयोग किया जाता है,b 
पर्वत स्थल की समोच्च रेखाएँ कैसी होती हैं ?,लगभग वृताकार,सीधी रेखाएँ,त्रिभुज जैसी,समानांतर,a
उच्चावच निरूपण की हैश्यूर विधि का विकास किसने किया था ?,न्यूटन,गौस,स्टीफन,लेहमान,d 
समोच्च रेखाओं के पास-पास होने से क्या प्रदर्शित होता है ?,मंद ढाल,विस्तृत क्षेत्र,खड़ी ढाल,समुद्र तल,c 
तल चिह्न का क्या उद्देश्य है ?,ऊँचाई को प्रदर्शित करना,स्थलाकृति दिखाना,नदी की दिशा बताना,तापमान मापना,a
'V' आकार की घाटी में समोच्च रेखाएँ किस प्रकार की होती हैं ?,'V' आकार,उल्टी 'V' आकार,वृताकार,टेढ़ी-मेढ़ी,b
हैश्यूर विधि से उच्चावच प्रदर्शित करने में प्रमुख कठिनाई क्या होती है ?,उच्च गुणवत्ता,सटीकता का बहुत अभाव,आकर्षक रूप की कमी,समय एवं मेहनत की अधिकता,d
समोच्च रेखाओं पर ऊँचाई का मान किस प्रकार लिखा जाता है ?,किलोजूल में,फीट या मीटर में,हेक्टेयर या एकड़ में,प्रकाश वर्ष में,b 
समोच्च रेखाओं की सहायता से कौन सी आकृति को दिखाया जा सकता है ?,पर्वत,जलप्रपात,पठार,उपरोक्त सभी,d
मानचित्र पर समोच्च रेखाओं को किस रंग से प्रदर्शित किया जाता है ?,नीला,स्लेटी,बादामी,हरा,c
जलप्रपात को किस प्रकार से दिखाया जाता है ?,त्रिभुजाकार रेखाओं से,समान रेखाओं से,खड़ी ढाल वाली रेखाओं से,मंद ढाल वाली रेखाओं से,c 
स्तर रंजन का प्रयोग किस प्रकार के मानचित्रों में होता है ?,रंगीन,ब्लैक एंड व्हाइट,खगोलीय,भौतिक,a
हैश्यूर विधि का विकास करने वाले लेहमान कहाँ के सैन्य अधिकारी थे ?,इंग्लैंड,जर्मनी,ऑस्ट्रिया,फ्रास,c
"किस विधि में उच्चावच निरूपण के लिए छोटी, महीन एवं खंडित रेखाएँ खींची जाती है ?",पर्वतीय छायाकरण,तल चिह्न,समोच्च रेखाएँ,हैश्यूर विधि,d
उच्चावच प्रदर्शन के लिए किस विधि को सर्वश्रेष्ठ माना गया है ?,स्थानिक ऊँचाई,समोच्च रेखाएँ,हैश्यूर विधि,तल चिह्न,b 
स्तर रंजन विधि में मैदान को किस रंग से दिखाया जाता है ?,पीला,लाल,बादामी,हरा,d
स्तर रंजन विधि में बर्फीले क्षेत्र को किस रंग से दिखाया जाता है ?,सफेद,लाल,बादामी,नीला,a
किस स्थलाकृति का आधार और शिखर दोनों ही चौड़ा एवं विस्तृत होता है ?,पर्वत,जलप्रपात,घाटी,पठार,d 
जब किसी नदी का जल अपनी घाटी से गुजरने के दौरान ऊपर से नीचे की ओर तीव्र ढाल पर अकस्मात गिरती है तब इसे क्या कहा जाता है ?,पोखर,झील,जल प्रपात,सागर,c 
'V' आकार की घाटी का निर्माण नदी द्वारा उसके किस अवस्था में किया जाता है ?,युवावस्था,बुजुर्ग अवस्था,परिपक्व अवस्था,पुनर्जीवन अवस्था,a 
किस भू-आकृति को दिखाने के लिए बाहर की ओर अधिक मानवाली तथा अंदर की ओर कम मानवाली समोच्च रेखाएँ होती है ?,पर्वत,पठार,जलप्रपात,झील,d
तल चिह्न की सहायता से किसी स्थान विशेष की मापी गई ऊंचाई को क्या कहते है ?,विशेष ऊंचाई,तल ऊंचाई,स्थानिक ऊंचाई,मानचित्र ऊंचाई,c
उच्चावच निरूपण की समोच्च रेखीय विधि में ऊँचाई किससे मापी जाती है ?,भूतल,समुद्र जल तल,समुद्र भूतल,एवरेस्ट शिखर,b 
स्तर रंजन विधि में नीले रंग से किसे प्रदर्शित किया जाता है ?,पठार,पर्वत,मैदान,जल,d
