सन् 1750 ई० तक ब्रिटेन की कितनी प्रतिशत जनसंख्या गाँवों में निवास करती थी?,50%,60%,80%,90%,c
ब्रिटेन में उत्पादन मशीनीकरण से पहले के औद्योगिक विकास दौर को किस नाम से जाना जाता था?,औद्योगिक क्रांति,कुटीर उद्योग,प्रोटो-इंडस्ट्रियलाइजेशन,कारखाना पद्धति,c
गिल्ड से जुड़े उत्पादक किसलिए प्रसिद्ध थे?,मशीनीकरण,निपुणता और विशिष्टता,कृषि उत्पादन,ग्रामीण विकास,b
औद्योगिक क्रांति के परिणामस्वरूप उत्पादन किसके द्वारा होने लगा?,मानव श्रम,हाथ से चलने वाले यंत्र,मशीनों,गिल्ड प्रथा,c
ब्रिटेन में स्वतंत्र व्यापार (Free Trade) और अहस्तक्षेप की नीति का उद्देश्य क्या था?,व्यापार को बढ़ावा देना,कृषि का विकास करना,मशीनों का आयात करना,बाज़ारों पर नियंत्रण रखना,a
अठारहवीं शताब्दी के उत्तरार्द्ध में किस उद्योग क्षेत्र में अधिक आविष्कार हुए?,लोहा उद्योग,मोटर कार उद्योग,वस्त्र उद्योग,परिवहन,c
रिचर्ड आर्कराइट ने 1769 में किस मशीन का आविष्कार किया?,स्पिनिंग जेनी,स्पिनिंग फ्रेम,फ्लाइंग शटल,पावरलूम,b
1770 में जेम्स हारग्रीब्ज ने सूत काटने की कौन सी मशीन बनाई?,स्पिनिंग म्यूल,फ्लाइंग शटल,पावरलूम,स्पिनिंग जेनी,d
सन् 1779 में सैम्यूल क्राम्पटन द्वारा किस मशीन का आविष्कार किया गया?,स्पिनिंग म्यूल,पावरलूम,फ्लाइंग शटल,स्पिनिंग फ्रेम,a
एडमंड कार्टराइट ने किस वर्ष वाष्प से चलने वाला पावरलूम तैयार किया?,1770,1785,1769,1779,b
फ्लाइंग शटल का आविष्कार 1773 में किसने किया?,रिचर्ड आर्कराइट,जेम्स हारग्रीब्ज,सैम्यूल क्राम्पटन,जॉन के,d
सन् 1820 तक ब्रिटेन के किस उद्योग में काफी वृद्धि हुई?,सूती वस्त्र उद्योग,लोहा उद्योग,कोयला उद्योग,ऊन उद्योग,a
सन् 1815 में खानों में काम करने के लिए हम्फ्रीडेवी ने किस यंत्र का आविष्कार किया?,सेफ्टी लैम्प,फ्लाइंग शटल,स्पिनिंग जेनी,पावरलूम,a
लंकाशायर में किस उद्योग का केंद्र स्थापित किया गया?,रेशम उद्योग,सूती वस्त्र उद्योग,कोयला उद्योग,लोहा उद्योग,b
न्यू साउथ वेल्स किसके उत्पादन का केंद्र बना?,कोयला,रेशम,ऊन,लोहा,c
ब्रिटेन ने अपने उपनिवेशों से क्या लाभ उठाया?,महंगा श्रम,आयात शुल्क,कच्चा माल और सस्ता श्रम,बाज़ारों पर प्रतिबंध,c
अठारहवीं शताब्दी तक भारत का सबसे प्रमुख उद्योग कौन सा था?,कृषि उद्योग,लौह उद्योग,कपड़ा उद्योग,सूती उद्योग,c
"ब्रिटिश एजेंट जो भारतीय कारीगरों से उत्पादन करवाते थे, उन्हें क्या कहा जाता था?",इंस्पेक्टर,गुमाश्ता,नियंत्रक,दलाल,b
सन् 1813 में ब्रिटिश संसद द्वारा किस एक्ट से इस्ट इंडिया कम्पनी का व्यापारिक एकाधिपत्य समाप्त किया गया?,फ्री ट्रेड एक्ट,चार्टर एक्ट,रेगुलेशन एक्ट,कंपनी एक्ट,b
1850 के बाद ब्रिटेन से भारत में किस वस्त्र का भारी मात्रा में आयात किया गया?,ऊन का वस्त्र,सूती वस्त्र,रेशमी वस्त्र,कपड़ा उद्योग,b
भारत में 1850 के बाद ब्रिटिश द्वारा अपनाई गई किस नीति के कारण भारत के कुटीर उद्योग समाप्त होने लगे?,स्वदेशी नीति,औद्योगिक क्रांति,मुक्त व्यापार नीति,राष्ट्रवाद नीति,c
भारत के कुटीर उद्योगों के पतन की प्रक्रिया को भारतीय इतिहासकारों ने क्या नाम दिया है?,औद्योगीकरण,निर्यात नीति,निरूद्योगीकरण,स्वदेशी आंदोलन,c
भारत में पहली सूती कपड़े की मिल कब स्थापित की गई थी?,1850,1851,1854,1860,b
बंगाल में सन् 1830-40 में 6 संयुक्त उद्यम कंपनियां स्थापित करने वाला कौन था?,जमशेद जी टाटा,द्वारकानाथ टैगोर,घनश्याम दास बिड़ला,कावस-जी-नाना-जी-दाभार,b
भारत में सूती कपड़े के कारखानों की संख्या 1880 से 1895 तक कितनी हो गई थी?,13,39,49,144,b
किसने 1907 में टाटा आयरन एण्ड स्टील कम्पनी की स्थापना की?,जमशेद जी टाटा,घनश्याम दास बिड़ला,द्वारकानाथ टैगोर,हुकुम चंद,a
सन् 1869 स्वेज नहर के खुलने का क्या प्रभाव पड़ा?,सूती कपड़ों का आयात बढ़ा,सूती कपड़ों का निर्यात बढ़ा,कोई प्रभाव नहीं,फैक्ट्री बंद हुई,a
सन् 1917 में देश की पहली जूट मिल मारवाड़ी व्यवसाय हुकुम चंद द्वारा कहां स्थापित की गई?,दिल्ली,कलकत्ता,बम्बई,जमशेदपुर,b
किसने बिड़ला ब्रदर्स कम्पनी की स्थापना की?,घनश्याम दास बिड़ला,जमशेद जी टाटा,आनंद बिड़ला,द्वारकानाथ टैगोर,a
भारत में कितने स्टील प्लांट हैं?,5,6,7,8,c
सन् 1895 से 1914 तक कितनी सूती मिलें स्थापित हुईं?,144,100,200,50,a
"किसकी सहायता से भिलाई, राउर केला और दुर्गापुर में इस्पात कारखाने खोले गए?",भारत सरकार,रूस,अमेरिका,जापान,b
घनश्याम दास बिड़ला ने किस कंपनी से केशवराव कॉटन मिल खरीदी?,एंडविल,बिड़ला,टाटा,स्टीवेंस,a
टाटा हाइड्रो-इलेक्ट्रीक पावर स्टेशन की स्थापना कब हुई थी?,1907,1910,1915,1920,b
भारतीय उद्योग का इतिहास कब शुरू हुआ?,1850,1851,1854,1860,c
भारत में कुटीर उद्योग बंद होने का मुख्य कारण क्या था?,मशीनों का अविष्कार,कच्चे माल की कमी,श्रमिकों की कमी,उद्योग नीति,a
भारत में कोयला उद्योग का प्रारम्भ कब हुआ था?,1850,1916,1814,1868,c
सन् 1853 के बाद किसके कारण कोयला उद्योग का विकास हुआ?,कपड़ा मिलों का विकास,रेलवे का विकास,कृषि का विकास,हस्तशिल्प का विकास,b
सन् 1916 में किस आयोग का गठन किया गया था?,वित्त आयोग,राजस्व आयोग,रेलवे आयोग,औद्योगिक आयोग,d
सीमेंट और शीशा उद्योग की स्थापना किस दशक में हुई?,1940,1950,1920,1930,d
प्रथम विश्वयुद्ध के दौरान भारतीय उद्योगों को किसका लाभ मिला?,युद्ध के ठेके,अमेरिकी समर्थन,विदेशी मजदूर,कच्चा माल महंगा,a
विश्वव्यापी आर्थिक मंदी (1929-33) के दौरान भारतीय उद्योगों पर क्या प्रभाव पड़ा?,बैंकिंग विकसित हुई,विकास हुआ,उद्योग बंद हुए,निर्यात बढ़ा,c
द्वितीय विश्वयुद्ध के बाद भारत का मुख्य व्यापारिक साझेदार कौन बना?,अमेरिका,चीन,फ्रांस,जापान,a
भारत में पंजाब नेशनल बैंक की स्थापना कब हुई थी?,1913,1911,1907,1895,d
सेंट्रल बैंक की स्थापना कब हुई थी?,1813,1911,1977,1995,b 
इनमें से कौन सी कम्पनी भारत में प्रबंधकीय ऐजेंसी थी?,मारवाड़ी एसोसिएशन,बर्ड हिगलर्स एण्ड कम्पनी,टाटा एंड संस,वेस्टर्न युनियन,b
