आधुनिक युग में प्रेस का सबसे बड़ा प्रभाव किस पर पड़ता है?,व्यक्तिगत जीवन,सामाजिक जीवन,राजनीतिक जीवन,सभी पर,d
छपाई के आविष्कार से पहले मानव ज्ञान और सूचना को कैसे संरक्षित करता था?,चट्टानों पर खुदाई करके,कागज पर लिखकर,ब्लॉक प्रिंटिंग से,पुस्तकों में,a
छपाई का सबसे पहला आविष्कार किस देश में हुआ?,भारत,चीन,जापान,कोरिया,b
चीनी नागरिक टस्-प्लाई-टुन ने कागज का आविष्कार कब किया?,105 ई.,760 ई.,712 ई.,594 ई.,a
ब्लॉक प्रिंटिंग की शुरुआत चीन में कब हुई?,760 ई.,594 ई.,712 ई.,10वीं सदी,b
1041 ई. में मूवेबल टाइप का आविष्कार किसने किया?,योहान गुटेन वर्ग,टस्-प्लाई-टुन,पि-शेंग,मार्कोपोलो,c
धातु के मूवेबल टाइपों से पहली पुस्तक 13वीं सदी के पूर्वार्द्ध में कहाँ छापी गई?,चीन,जापान,कोरिया,यूरोप,c
मुद्रण कला का अधिक विकास यूरोप में क्यों हुआ?,कम वर्णाक्षर,संसाधन,अधिक बुद्धिमान लोग,मिशनरी गतिविधियां,a
यूरोप में पहली पेपर मिल जर्मनी में कब स्थापित हुई?,11वीं सदी,12वीं सदी,1336 ई.,1430 ई.,c
गुटेनबर्ग ने किस दशक में तेज और सस्ती मुद्रण तकनीक विकसित की?,1330 के दशक,1430 के दशक,1530 के दशक,1630 के दशक,b
शंघाई कब प्रिंट-संस्कृति का नया केंद्र बना?,16वीं सदी,17वीं सदी,19वीं सदी,18वीं सदी,c
यूरोप में ब्लॉक प्रिंटिंग सबसे पहले कहाँ पहुँची?,इटली,जर्मनी,रोम,फ्रांस,c
गुटेनबर्ग का जन्म किस देश में हुआ था?,फ्रांस,इंग्लैंड,जर्मनी,इटली,c
गुटेनबर्ग ने मुद्रण स्याही और हैण्डप्रेस का उपयोग पहली बार कब किया?,1440,1455,1430,1448,a
गुटेनबर्ग ने किस मिश्र धातु का उपयोग मुद्रण टाइप के लिए किया?,सोना और चांदी,"सीसा, टिन और विसमथ",लोहे और एल्यूमिनियम,कॉपर और टिन,b
विसमथ धातु की विशेषता क्या है?,यह ठंडा होने पर फैलता है,यह हल्का होता है,यह सस्ता होता है,यह चमकदार होता है,a
गुटेनबर्ग द्वारा छपे 421 लाइन वाली बाइबिल को किसने पूरा किया?,गुटेनबर्ग,फस्ट और शुओफर,कैक्सटन,वाल्टेयर,b
गुटेनबर्ग ने 36 लाइन में बाइबिल कब छापी?,1448,1450,1640,1648,a
फस्ट और शुओफर ने गुटेनबर्ग के प्रेस को कैसे अधिग्रहित किया?,खरीद कर,कानूनी आदेश से,गिफ्ट के रूप में,जब्त करके,b
'इन्डलजंस' नामक पुस्तक किसने छापी?,फस्ट,गुटेनबर्ग,कैक्सटन,शुओफर,d
मुद्रणकला का प्रसार पुर्तगाल में कब हुआ?,1440,1475,1544,1600,c
सर विलियम कैक्सटन ने इंग्लैंड में मुद्रणकला की शुरुआत कब की?,1440,1475,1544,1485,b
15वीं शताब्दी के अंत तक यूरोप में लगभग कितनी मुद्रित किताबें छप चुकी थीं?,1 करोड़,2 करोड़,10 करोड़,20 करोड़,b
मुद्रण क्रांति ने आम लोगों को क्या सुविधा दी?,धर्म सुधार,साहित्यिक क्रांति,सूचना और ज्ञान की आसान पहुँच,राजनीतिक सुधार,c
मार्टिन लूथर ने रोमन कैथोलिक चर्च की कुरीतियों की आलोचना में कितनी स्थापनाएँ लिखीं?,75,95,100,50,b
लूथर की स्थापनाएँ किस स्थान पर टांगी गई थीं?,कैथोलिक चर्च,विटेनबर्ग गिरजाघर,पेरिस की दीवार,रोम की गलियां,b
लूथर ने मुद्रण प्रेस को किस रूप में वर्णित किया?,ईश्वर की दी हुई महानतम् देन,साहित्य का स्रोत,ज्ञान का आधार,न्याय का साधन,a
