राष्ट्रवाद का शाब्दिक अर्थ क्या है?,राष्ट्रीय चेतना का उदय,समाज का विकास,भाषा का उत्थान,आर्थिक समृद्धि,a
19वीं शताब्दी में भारत में राष्ट्रवाद के उदय का मुख्य कारण क्या था?,अंग्रेजी शासन व्यवस्था,मुग़ल शासन,क्षेत्रीय संघर्ष,धार्मिक एकता,a
स्वतंत्रता संग्राम किसकी अभिव्यक्ति है?,राष्ट्रवाद,आर्थिक विकास,धार्मिक सुधार,सांस्कृतिक आदान-प्रदान,a
देश द्रोही सभा अधिनियम का उद्देश्य क्या था?,सभाओं पर रोक लगाना,प्रेस को बढ़ावा देना,वोटिंग अधिकार देना,शिक्षा नीति में सुधार,a
कलकत्ता कारपोरेशन एक्ट का प्रभाव क्या था?,गैर निर्वाचित सदस्यों की संख्या में वृद्धि,मंदिरों का निर्माण,शिक्षा नीति में सुधार,रोजगार में वृद्धि,a
आर्म्स एक्ट किस वर्ष में पारित हुआ था?,1907,1879,1910,1905,b
बंगाल विभाजन का निर्णय किस वर्ष में लिया गया?,1905,1911,1899,1878,a
अंग्रेजी शिक्षा नीति से भारतीयों ने क्या सीखा?,प्रजातंत्र और आधुनिक प्रगति,धार्मिक एकता,कृषि सुधार,औद्योगिक विकास,a
'देश द्रोही सभा अधिनियम' कब लागू किया गया?,1911,1910,1899,1907,d
वर्नाक्युलर एक्ट का उद्देश्य क्या था?,प्रेस पर प्रतिबंध लगाना,भारतीयों को शस्त्र रखने की अनुमति,भारतीय शिक्षा का प्रचार,नगरपालिका में सुधार,a
विश्वविद्यालय अधिनियम कब पारित हुआ?,1904,1910,1905,1899,a
वर्नाक्युलर एक्ट किस वर्ष में पारित हुआ था?,1878,1883,1904,1911,a
बंगाल विभाजन कब रद्द किया गया?,1911,1904,1905,1899,a
भारत में राष्ट्रवाद के उदय का मुख्य कारण क्या था?,ब्रिटिश प्रशासनिक नीतियाँ,धार्मिक एकता,भाषाई विविधता,भारतीय संस्कृति का उत्थान,a
