सिन्धु घाटी सभ्यता का व्यापारिक संबंध किन सभ्यताओं से था?,चीन और जापान,मिश्र और मेसोपोटामिया,ग्रीस और रोम,अमेरिका और अफ्रीका,b
प्राचीन व्यापारिक केन्द्र 'दिलमुन' कहाँ स्थित था?,आधुनिक इराक,आधुनिक ईरान,आधुनिक ओमान,आधुनिक बहरीन,d
अलेक्जेण्ड्रिया व्यापारिक केन्द्र किसने स्थापित किया था?,चंद्रगुप्त,सिकंदर,अशोक,जूलियस सीज़र,b
औद्योगिक क्रांति का मुख्य केन्द्र कौन सा देश था?,फ्रांस,जर्मनी,इंग्लैंड,अमेरिका,c
औद्योगिक क्रांति का आरंभ कब हुआ था?,1500 के बाद,1600 के बाद,1750 के बाद,1850 के बाद,c
विश्व बाजार का सबसे प्राचीन उदाहरण कौन सा है?,अमेरिका,इंग्लैंड,अलेक्जेण्ड्रिया,बंबई,c
अलेक्जेण्ड्रिया किस समुद्र के मुहाने पर स्थित है?,काला सागर,लाल सागर,कैस्पियन सागर,भूमध्य सागर,b
औद्योगिक क्रांति के कारण क्या हुआ?,शिक्षा का विकास,व्यापक उत्पादन,संस्कृति का पतन,सामाजिक अस्थिरता,b
प्राचीन व्यापारिक केन्द्र 'मेंलुहा' कहाँ स्थित था?,सिंधु नदी के पास,गंगा नदी के पास,मकरान तट पर,दक्षिण भारत में,c
विश्व बाजार का स्वरूप किस क्रांति के बाद उभरा?,औद्योगिक क्रांति,हरित क्रांति,डिजिटल क्रांति,फ्रांसीसी क्रांति,a
20वीं शताब्दी के प्रारंभ तक विश्व बाजार का प्रभाव कहाँ तक पहुँच चुका था?,एशिया,यूरोप,सभी महाद्वीपों,अफ्रीका,c
औद्योगिक क्रांति के दौरान इंग्लैंड ने कच्चे माल के लिए किन क्षेत्रों की ओर ध्यान खींचा?,"एशिया, अफ्रीका और उ. अमेरिका",यूरोप,दक्षिण अमेरिका,ऑस्ट्रेलिया,a
उपनिवेशवाद का मुख्य उद्देश्य क्या था?,सांस्कृतिक विकास,आर्थिक शोषण,शैक्षिक सुधार,तकनीकी विकास,b
औद्योगिक क्रांति के दौरान किन उद्योगों ने विश्व बाजार के आधार का निर्माण किया?,कपड़ा उद्योग,स्टील उद्योग,रसायन उद्योग,खाद्य उद्योग,a
गिरमिटिया मजदूर किस प्रकार की फसलों के उत्पादन में लगे थे?,धान और गेहूं,कपास और जूट,मसाले,नगदी फसलें,d
गिरमिटिया मजदूर मुख्यतः किन क्षेत्रों से भेजे गए थे?,दक्षिण भारत,पश्चिम भारत,भोजपुरी भाषी क्षेत्र और पंजाब,पूर्वोत्तर भारत,c
गिरमिटिया मजदूरों को किन देशों में भेजा गया?,"यूरोप और अमेरिका","जमैका, फिजी, मॉरिशस आदि","ऑस्ट्रेलिया और न्यूजीलैंड","मध्य एशिया",b
औद्योगिक क्रांति से किस प्रकार का आर्थिक तंत्र विकसित हुआ?,स्थानीय,एशिया-केंद्रित आर्थिक तंत्र,अंतरराष्ट्रीय साम्यवादी तंत्र,यूरोप-केंद्रित विश्वव्यापी अर्थ तंत्र,d
प्रथम महायुद्ध का मुख्य प्रभाव क्या था?,अमेरिका का आर्थिक पतन,यूरोप की अर्थव्यवस्था का पतन,भारत में उद्योगों का विकास,एशिया में शांति की स्थापना,b
प्रथम महायुद्ध के बाद अमेरिका ने किसे आर्थिक सहायता दी?,एशिया,अफ्रीका,यूरोप,दक्षिण अमेरिका,c
1929 की आर्थिक मंदी का मुख्य कारण क्या था?,अति उत्पादन,बाजार में वस्तुओं की कमी,कम मजदूरी,युद्ध का प्रभाव,a
आर्थिक मंदी के दौरान अमेरिका ने कौन-से कदम उठाए?,सीमा शुल्क घटाया,आयातित वस्तुओं पर दो गुना शुल्क लगाया,अंतरराष्ट्रीय व्यापार बढ़ाया,अन्य देशों को सहायता दी,b
आर्थिक मंदी के प्रमुख प्रभावों में क्या शामिल था?,यूरोप का आर्थिक सुधार,बैंकों और कंपनियों का दिवाला,अधिक रोजगार सृजन,वैज्ञानिक प्रगति,b
1929-32 के आर्थिक संकट का प्रमुख कारण क्या था?,युद्ध का प्रभाव,यूरोप की राजनीतिक अस्थिरता,औद्योगिक क्रांति का विस्तार,खाद्यान्नों की कीमतों का गिरना,d
यूरोप के आर्थिक संकट के दौरान कौन-से देश सस्ते अनाज उत्पादन में प्रमुख रहे?,भारत और चीन,कनाडा और रूस,ब्रिटेन और फ्रांस,जर्मनी और इटली,b
'दि कॉमर्स ऑफ नेशन' नामक पुस्तक किसने लिखी?,एडम स्मिथ,रिकार्डो,जॉन मेनार्ड कीन्स,काडलिफ,d
संकुचित आर्थिक राष्ट्रवाद का प्रभाव क्या था?,विश्व व्यापार की व्यवस्था कमजोर होना,वैश्विक व्यापार में वृद्धि,नए तकनीकी उत्पादों का विस्तार,युद्ध का पुनरारंभ,a
अमेरिका में सट्टेबाजी का आगे चलकर मुख्य प्रभाव क्या था?,आर्थिक समृद्धि में वृद्धि,कंपनियों का विस्तार,आर्थिक संकट का उत्पन्न होना,नए उद्योगों का विकास,c
