शहरीकरण का अर्थ क्या है?,किसी शहर का गाँव में बदलना,किसी गाँव का शहर में बदलना,किसी गाँव का उपजाऊ बनना,किसी गाँव का वीरान बनना,b
गाँव और शहर के बीच मुख्य अंतर क्या है?,आबादी और रोजगार के साधन,प्राकृतिक सौंदर्य और तकनीकी,प्रदूषण,शिक्षा,a 
गाँव में मुख्य आजीविका क्या है?,व्यापार,उद्योग,खेती और पशुपालन,स्वास्थ्य सेवाएँ,c
आधुनिक शहरों की स्थापना में कौन-सी प्रक्रिया निर्णायक थी?,औद्योगिक पूंजीवाद,औपनिवेशिक शासन,लोकतांत्रिक आदर्श,उपरोक्त सभी,d
मध्यकालीन सामंती संरचना कब तक अपने शिखर पर थी?,तेरहवीं शताब्दी,सोलहवीं शताब्दी,पंद्रहवीं शताब्दी,दसवीं शताब्दी,a
आधुनिक शहरों का इतिहास लगभग कितने वर्षों का है?,100 वर्ष,200 वर्ष,300 वर्ष,400 वर्ष,b
स्थायी सामाजिक जीवन की शुरुआत कहाँ से हुई?,शहर,गाँव,बंदरगाह,धार्मिक स्थल,b
सामाजिक विषमताएँ किसके कारण आईं?,खानाबदोशी जीवन,संपत्ति का जमाव,शिकार और भोजन संकलन,धार्मिक स्थलों का विकास,b
ग्रामीण और नगरीय व्यवस्था में अंतर का मुख्य आधार क्या है?,जनसंख्या घनत्व और कृषि आधारित गतिविधियाँ,प्राकृतिक वातावरण और शिक्षा,व्यापार और स्वास्थ्य,कृषि उत्पादन और यातायात,a
ग्रामीण क्षेत्रों से शहरों की ओर प्रवजन का कारण क्या था?,कृषि उत्पादों की कमी,नए अवसरों की तलाश,खानाबदोश जीवन का अंत,औद्योगिक क्रांति,b
आधुनिक काल से पूर्व शहरों की स्थापना का मुख्य आधार क्या था?,व्यापार और धर्म,शिक्षा और स्वास्थ्य,कृषि और उद्योग,राजनीति और प्रशासन,a
शहरी जनसंख्या का बड़ा हिस्सा किस प्रकार की अर्थव्यवस्था से प्रेरित था?,खेती पर आधारित,जीवन निर्वाह अर्थव्यवस्था,गतिशील मुद्रा प्रधान अर्थव्यवस्था,प्राकृतिक संसाधनों पर आधारित,c
राजनीतिक प्राधिकार का केंद्र क्या बन गया?,धार्मिक स्थल,प्राकृतिक संसाधन,व्यापार केंद्र,शहर,d
प्रवजन की प्रक्रिया में प्रारंभ में किस वर्ग का अभिन्न योगदान रहा?,व्यापारी वर्ग,दस्तकार वर्ग,कृषक वर्ग,शासक वर्ग,c
औद्योगिक क्रांति के बाद पश्चिमी शहरों की किस प्रकार की स्थिति थी?,उद्योगिकृत,ग्रामीण किस्म की,विकसित,धार्मिक,c
