समाजवाद में उत्पादन के सभी साधनों पर मुख्यतः किसका अधिकार होता है ?,सरकार, व्यक्ति, समाज, निजी कंपनियां, a
समाजवादी भावना का उदय कब हुआ था ?,18वीं शताब्दी, 19वीं शताब्दी, 20वीं शताब्दी, 21वीं शताब्दी, a
समाजवादी भावना का उदय किसके फलस्वरूप हुआ था ?, फ्रांसीसी क्रांति, अमेरिकी क्रांति, रूसी क्रांति,औद्योगिक क्रांति,d
औद्योगिक क्रांति से किनकी स्थिति शोषणात्मक और दयनीय होती जा रही थी ?,किसानों, व्यापारियों, श्रमिकों, पूंजीपतियों, c
औद्योगिक क्रांति में मध्यम वर्ग आर्थिक दृष्टि से निरंतर क्या होते जा रहा था ?,गरीब, समृद्धशाली, कमजोर, आश्रित, b
औद्योगिक क्रांति सेआर्थिक दृष्टि से समाज का विभाजन किन दो वर्गों में हो गया था ?,उच्च वर्ग और निम्न वर्ग, मध्यम वर्ग और व्यापारी वर्ग, पूंजीपति और श्रमिक वर्ग, किसान और जमींदार वर्ग, c
"सेंट साइमन, फौरियर, लुई ब्लां,रोबर्ट ओवेन, कार्ल मार्क्स एवं एंगल्स जैसे विचारक मुख्य रूप से किस व्यवस्था के पक्ष में थे ?",समाजवादी, पूंजीवादी, साम्यवादी, सामंतवादी, a
ऐतिहासिक दृष्टि से आधुनिक समाजवाद का विभाजन कितने चरणों में किया जाता है ?,1, 2, 3, 4, b
यूटोपियन समाजवाद किसे कहा जाता है ?,आधुनिक समाजवाद, वैज्ञानिक समाजवाद, मार्क्स से पूर्व का समाजवाद, मार्क्स से पश्चात का समाजवाद, c
मार्क्स के पश्चात के समाजवाद को मार्क्सवादी विचारकों ने क्या नाम दिया है ?,यूटोपियन समाजवाद, वैज्ञानिक समाजवाद, क्रांतिकारी समाजवाद, साम्यवादी समाजवाद, b
अधिकतर यूटोपियन विचारक किस देश के थे ?,जर्मनी, अमेरिका, इंग्लैंड, फ्रांस, d
किन समाजवादियों की दृष्टि आदर्शवादी और उनके कार्यक्रम की प्रकृति अव्यावहारिक थी ?,वैज्ञानिक, यूटोपियन, मार्क्सवादी, साम्यवादी, b
प्रथम यूटोपियन समाजवादी जिसने समाजवादी विचारधारा के विकास में महत्वपूर्ण भूमिका निभाई एक फ्रांसीसी विचारक था। कौन ?,रॉबर्ट ओवेन, सेंट साइमन, चार्ल्स फौरियर, कार्ल मार्क्स, b
"प्रत्येक को उसकी क्षमता के अनुसार तथा प्रत्येक को उसके कार्य के अनुसार" किसने घोषित किया ?,सेंट साइमन,कार्ल मार्क्स, फ्रेडरिक एंगेल्स, चार्ल्स फौरियर, a
"प्रत्येक को उसकी क्षमता के अनुसार तथा प्रत्येक को उसके कार्य के अनुसार" किस व्यवस्था का मूलभूत नारा बन गया ?,पूंजीवाद, साम्यवाद, समाजवाद, फासीवाद, c
चार्ल्स फौरियर किसका विचारक था ?, यूटोपियन समाजवाद, वैज्ञानिक समाजवाद, मार्क्सवादी समाजवाद, उदारवादी समाजवाद, a
किसने किसानों के लिए फ्लांग्स बनाए जाने की योजना रखी ?,रॉबर्ट ओवेन, सेंट साइमन, चार्ल्स फौरियर, कार्ल मार्क्स, c
कौन आधुनिक औद्योगिकवाद का विरोधी तथा श्रमिकों को छोटे नगर अथवा कस्बों में काम करने का विचारक था ?,चार्ल्स फौरियर, रॉबर्ट ओवेन, सेंट साइमन, कार्ल मार्क्स, a
फ्रांसीसी यूटोपियन चिंतकों में एकमात्र व्यक्ति जिसने राजनीति में भी हिस्सा लिया कौन था ?,चार्ल्स फौरियर, सेंट साइमन, रॉबर्ट ओवेन, लुई ब्लां, d
लुई ब्लां का मानना था कि आर्थिक सुधारों को प्रभावकारी बनाने के लिए पहले ______ सुधार आवश्यक है। ,राजनीतिक, सामाजिक, धार्मिक, शैक्षणिक, a
यूटोपियन चिंतक एवं उद्योगपति रॉबर्ट ओवेन किस देश का था ?,जर्मनी, अमेरिका, फ्रांस, ब्रिटेन, d
इनमें से किस वचारक ने स्कॉटलैंड के न्यू लुनार्क नामक स्थान पर एक फैक्ट्री की स्थापना की थी ?,चार्ल्स फौरियर, सेंट साइमन, रॉबर्ट ओवेन, कार्ल मार्क्स, c
कौन-सा विचारक इस निष्कर्ष पर पहुंचता है कि संतुष्ट श्रमिक ही वास्तविक श्रमिक है ?,कार्ल मार्क्स, सेंट साइमन, रॉबर्ट ओवेन, चार्ल्स फौरियर, c
कार्ल मार्क्स का जन्म कब हुआ था ?,5 मई 1818, 15 अप्रैल 1819, 10 जून 1818, 1 जनवरी 1830, a
कार्ल मार्क्स का जन्म कहाँ हुआ था ?,पेरिस, बर्लिन, ट्रियर, फ्रैंकफर्ट, c
कार्ल मार्क्स के पिता का क्या नाम था ?,हैन्स मार्क्स, हेनरिक मार्क्स, जॉर्ज मार्क्स, डेविड मार्क्स, b
हेनरिक मार्क्स क्या थे ?,डॉक्टर, वकील, व्यापारी, शिक्षक, b
हेनरिक मार्क्स ने बाद में किस धर्म को अपना लिया ?,ईसाई, इस्लाम, हिन्दू, यहूदी, a
निम्नलिखित में से कौन यहूदी परिवार से थे ?,लेनिन, सेंट साइमन, चार्ल्स फौरियर, कार्ल मार्क्स, d
बोन विश्वविद्यालय में कार्ल मार्क्स ने किसकी शिक्षा ग्रहण की ?,विज्ञान की, दर्शन की, अर्थशास्त्र की, विधि की, d
कार्ल मार्क्स कब बर्लिन विश्वविद्यालय चले गए ?,1836 में, 1835 में, 1840 में, 1842 में, a
कार्ल मार्क्स निम्नलिखित में से किस विचारक के विचारों से काफी प्रभावित थे ?,हिगेल, ओवेन, प्लेटो, स्पिनोसा, a
"1843 ईस्वी में कार्ल मार्क्स ने जैनी नाम की लड़की से विवाह किया, वह उसकी कौन थी ?",बहन, बचपन की मित्र, पड़ोसी, सहपाठी, b
