दक्षिण पूर्व एशिया में हिंद-चीन प्राद्विपीय क्षेत्र लगभग कितने लाख वर्ग किलोमीटर में फैला हुआ है ?,2 लाख,3 लाख,4 लाख,6 लाख,b
"वियतनाम, लाओस और कंबोडिया किस क्षेत्र में आते हैं ?",हिंद-चीन क्षेत्र,दक्षिण क्षेत्र,कम्बोडियन क्षेत्र,थाईलैंड भूमि,a
हिंद-चीन क्षेत्र के दक्षिण में क्या है ?,लाल सागर,चीन,चीन सागर,हिंद महासागर,c
हिंद-चीन क्षेत्र के पश्चिम में क्या है ?,चीन,भारत,म्यांमार,ऑस्ट्रेलिया,c
प्राचीन काल से ही वियतनाम के तोंकिन एवं अन्नाम पर किसका प्रभाव था ?,भारत,कंबोडिया,चीन,लाओस,c
तीसरी शताब्दी में शी-हुआंग के प्रभुत्व के बाद वियतनाम के क्षेत्र पर किस हान वंशीय राजा ने पुनः कब्जा कर लिया ?, बू-ती,युग ली,मंचू के राजा,चोला के राजा,a
15वीं तथा 19वीं शताब्दी में वियतनाम के क्षेत्र पर क्रमशः किन वंशो का शासन था ?, मंचु एवं मिंग, मिंग एवं मंचु,चोला एवं मंचु, हान एवं मिंग,b
बौद्ध धर्म के साथ-साथ किसके दर्शन का भी पूरा प्रभाव वियतनाम के क्षेत्रों पर पड़ा ?,वेदांत दर्शन,पाश्चात्य दर्शन,कन्फ्यूशियस,यूनानी,c
लाओस-कंबोडिया पर किसकी संस्कृति का प्रभाव था ?,चीन,भारत,कोरिया,यूनान,b
चौथी शताब्दी में स्थापित कंबुज राज्य का शासक किस वंश का था ?, चीनवंशीय,भारतवंशीय,मुगलवंशीय,चोलवंशीय,b
निम्नलिखित में से कौन भारतीय संस्कृति का प्रधान केंद्र बना ?,कंबुज,तोंकिन,अन्नाम,लाओस,a
12वीं शताब्दी में किस राजा ने अंकुर मंदिर का निर्माण करवाया था ?,सूर्यवर्मा द्वितीय,बिंबिसार,पृथ्वीराज चौहान,कृष्णदेव राय,a
 कंबुज का पतन किस शताब्दी तक हो गया था ?,14वीं शताब्दी,18वीं शताब्दी,12वीं शताब्दी,16वीं शताब्दी,d
सर्वप्रथम किस देश के व्यापारी दक्षिणी पूर्वी एशियाई देशों से जुड़े थे ?,फ्रांस,ब्रिटेन,पुर्तगाल,स्पेन,c
पुर्तगाली व्यापारियों ने 1510 ईस्वी में किसे अपना व्यापारिक केंद्र बनाकर हिंद-चीनी देशों के साथ व्यापार शुरू किया था ?,मलक्का,वियतनाम,कंबुज,कंबोडिया,a
किन कंपनियों ने हिंद-चीन के भू-भागों पर अपना राजनीतिक प्रभुत्व कायम करने का प्रयास किया ?, डच,फ्रांसीसी,अंग्रेज,पुर्तगाली,b
सन् 1747 ई. के बाद से ही फ्रांस हिंदी-चीन के किस क्षेत्र में रुचि लेने लगा था ?,अन्नाम,कोचीन, लाओस,कंबोडिया,a
अन्नाम को सैन्य बल पर संधि के लिए फ्रांसीसियों ने कब बाध्य किया ?,1868,1857,1862,1864,c
तोंकिन में फ्रांसीसी सेना का कब प्रवेश हुआ ?,,1793,1783,1788,1796,b
कब तक संपूर्ण हिंद-चीन हा फ्रांस की अधीनता में आया था ?,20वीं शताब्दी के आरंभ तक,19वीं शताब्दी के आरंभ तक,18वीं शताब्दी के उत्तरार्द्ध तक,19वीं शताब्दी के उत्तरार्द्ध तक,a
दिन में फ्रांसीसियों की व्यापारिक प्रतिद्वन्द्विता मुख्य रूप से किससे थी ?,डच,पुर्तगाल,इंग्लैंड,स्पेन,c
फ्रांसीसियों ने कंबोडिया को कब संरक्षण में ले लिया ?,1862,1863,1864,1865,b
फ्रांसीसियों ने लाओस पर अधिकार कब कर लिया ?,1862,1863,1864,1904,d
फ्रांसीसियों ने अन्नाम पर कब्जा किया ?,1863,1864,1884,1836,c
हिंद-चीन में रबड़ की खेती किन क्षेत्रों में होती थी ?,मैदानी क्षेत्र,पहाड़ी क्षेत्र,डेल्टा क्षेत्र,नदियों के सटे क्षेत्र,b
तोंकिन के जीवन का आधार क्या था ?,मेकांग नदी का मैदानी,क्षेत्र मेकोंग का डेल्टा,लाल घाटी,पहाड़ी क्षेत्र,c
मेकांग नदी का मैदानी क्षेत्र किसका आधार था ?,तोंकिन,कोचीन-चीन,कंबोडिया,लाओस,c
1931 ई. तक दुनिया का तीसरा सबसे बड़ा चावल निर्यातक देश कौन बन गया ?,भारत,वियतनाम,कंबोडिया,चीन,b
"एक तरह की बंधुआ मजदूरी, जहां मजदूरों का कोई अधिकार नहीं था जबकि मलिकों को असीमित अधिकार प्राप्त था क्या कहलाती थी ?",एक तरफा अनुबंध व्यवस्था, बंधुआ मजदूर व्यवस्था,मालिक व्यवस्था,मलिक अनुबंध व्यवस्था,a
हिंदी-चीन में बसने वाले फ्रांसीसी लोग क्या कहे जाते थे ?,स्लाव,फ्रैंचीन,चाइनीफ्रा,कोलोन,d
किस विश्वविद्यालय का बंद किया जाना फ्रांसीसी शोषण की पराकाष्ठा थी ?,हनोई विश्वविद्यालय,बोन विश्वविद्यालय,हो-चीन-मिन्ह विश्वविद्यालय, वियतनामी विश्वविद्यालय,a
फान-बोई-चाऊ ने 'दुई तान होई' नामक एक क्रांतिकारी संगठन की स्थापना की जिसके नेता कौन थे,फान-बोई-चाऊ,कुआंग दें,फान चू त्रिन्ह,हो-चीन-मिन्ह,b
