वीरेश्वर कौन थे?,मंत्री,राजा,साधू,पंडित,a
वीरेश्वर का स्वभाव कैसा था?,क्रूर,दयालु,आलसी,हिंसक,b
वीरेश्वर किसे भोजन दान करते थे?,गरीबों को,अनाथ को,आलसियों को,उपरोक्त सभी,d 
आलस्य के बारे में एक नीतिश्लोक क्या कहता है?,आलस्य दुख का कारण है,आलस्य शांति लाता है,आलस्य उन्नति का द्वार है,आलस्य का कोई महत्व नहीं,a
क्या कार्य करने में आलस्य रुकावट डालता है?,केवल शारीरिक कार्य,केवल मानसिक कार्य,दोनों शारीरिक और मानसिक कार्य,नहीं,c
अलसपुरुषों के बारे में कौन सी बात सही है?,वे हमेशा खुश रहते हैं तथा लोगों में खुशियाँ बाँटते हैं,वे सिर्फ़ कठिनाइयों से बचते हैं,वे आराम की तलाश करते हैं और कोई काम नहीं करते,वे बहुत मेहनती होते हैं,c
वह कौन से लोग थे जो वीरेश्वर से धोखे से भोजन इत्यादि लेने लगे थे?,अधिरकारी,धूर्त,गरीब,आलसी,b
वीरेश्वर के दान से क्या सिखाया जाता है?,आलस्य त्यागने की आवश्यकता,युद्ध कला,व्यापारिक कौशल,धार्मिक कार्य,a
आलसशाला में आग लगने पर कौन चार लोग आपस में बात करने लगे थे ?,धूर्त,कम आलसी,नियुक्त अधिकारी,बहुत आलसी,d
अलसकथा में चारों आलसी लोग आपस में किस विषय पर बाते करने लगे थे ?,भोजन,युद्ध,आग,यात्रा,c
धूर्त लोग कब भागे थे?,जब उन्हें भोजन दिया गया,जब घर में आग लगी,जब वे आलस्य से जागे,जब मंत्री वीरेश्वर आ गये,b
आलस्य से क्या होता है?,उन्नति,सुख,विनाश,संपत्ति,c
आलसशाला में किसने आग लगवाई थी ?,नियुक्त अधिकारियों ने,धूर्तों ने,आलसियों ने,मंत्री ने,a
वीरेश्वर कहाँ रहते थे?,कौशाम्बी,अयोध्या,मिथिला,काशी,c
अलसकथा किस ग्रंथ का विशेष अंग है?,नीतिशतकम्,हितोपदेशः,पंचतंत्र,पुरुषपरीक्षा,d
"किस आलसी ने कहा 'तुम लोग इतना क्यों बड़बड़ाते हो, चुप नहीं रह सकते क्या ?'",प्रथम,द्वितीय,तृतीय,चतुर्थ,d 
पुरुषपरीक्षा के रचीयता कौन थे ?,कालिदास,भवभूति,विद्यापति,भर्तृहरि,c  
आलसियों का सहारा कौन होता है ?,माँ,पति,साथी,दयालु,d
रिपुः का अर्थ क्या होता है ?,मित्र,शत्रु,गुरु,शिष्य,b 
तुष्णीम् का अर्थ क्या होता है ?,मौन,वचन,हंसी,शांति,a  
विद्यापतिरासीत् का संधि विच्छेद क्या होगा ?,विद्यापतिः + रासीत्,विद्यापति + रासीत्,विद्यापतिर + आसीत्,विद्यापतिः + आसीत्,d  
तन्मध्ये का संधि विच्छेद क्या होगा ?,तम् + मध्ये,तत् + मध्ये,तन + मध्ये,तनं + मध्ये,b
यदक्षमबुद्ध्या का संधि विच्छेद क्या होगा ?,यत् + अक्षमबुद्ध्या,यद् + अक्षमबुद्ध्या,यद् + अक्षम + बुद्ध्या,यत् + अक्ष + बुद्ध्या,a  
नीतिकाराः में कौन सा समास है ?,द्वन्द्व समास,अव्ययीभाव समास,उपपद समास,बहुव्रीहि समास,c
जलार्द्रैः में कौन सा समास है ?,बहुव्रीहि समास,अव्ययीभाव समास,द्वन्द्व समास,तृतीया तत्पुरुष,d
