हमारा क्या कहलाता है ?,भारतवर्ष,भारतपुर,भारतनगर,भारतगाँव,a  
भारत की महिमा कहाँ गाई जाती है?,पुराणों में,काव्यों में,गीता में,सर्वत्र,d
भारतमहिमा पाठ में पहला पद्य कहाँ से लिया गया है ?,रामायण से,शिवपुराण से,लखेक रचित,विष्णुपुराण से,d 
भारतमहिमा पाठ में भारतभूमि के गीत कौन गाते हैं?,देवता,ऋषि,गंधर्व,मनुष्य,a  
कौन भगवान विष्णु के सेवा के योग्य होता जाता है ?,भारत में जन्म लेने वाला,केवल देवता,ऋषि,मूर्ख,a
भारतभूमि पर जन्म लेना किसके लिए उपयुक्त है?,दुख के लिए,परिश्रम के लिए,पाप के लिए,मुक्ति के लिए,d
भारतीय धरती कैसी है?,विशाल,सुशोभित,प्रसिद्ध,उपरोक्त सभी,a  
दुनिया का गौरव कौन है ?,लंका,अफगानिस्तान,भारतवर्ष,चीन,c 
भारतभूमि की विशेषता क्या है?,पवित्रता,वत्सलता,निर्मलता,उपरोक्त सभी,d 
भारत केससे शोभित है ?,झरने,नदियां,पर्वत,उपरोक्त सभी,d
भारत किसके लिए पूजनीय है?,सभी के लिए,विद्वानों के लिए,देशभक्तों के लिए,मनीषियों के लिए,a  
विष्णुपुराण में भारत का क्या वर्णन किया गया है?,महिमा,उपकार,जाति,सुक्ष्मता,a  
भारत जगत का गौरव किस कारण से है?,शोभनीयता,पवित्रता,भव्यता,उपरोक्त सभी,d
स्विदुत का संधि विच्छेद क्या होगा ?,स्वित् + क्त,स्वित् + इति,स्वित् + उत,सेव् + दुत,c
किमकारि का संधि विच्छेद क्या होगा?,किम् + कारि,किम् + करी,कि + मकारि,किम् + अकारि,d
चापगाभिः का संधि विच्छेद क्या होगा?,चाप + गाभिः,चा + अपगाभिः,च + अपगाभिः,चाप + आपगाभिः,d
परा का अर्थ क्या होता है ?,पक्षी,श्रेष्ठ,पवित्र,पुण्य,b  
वत्सला का अर्थ क्या होता है ?,सुंदर,मछली,ममतामयी,विशाल,c
स्पृहा का अर्थ क्या होता है ?,संदेह,इच्छा,स्पर्श,प्रशंसा,b
धन्यास्तु का संधि विच्छेद क्या होगा ?,धन्या + अस्तु,धन्य + अस्तु,धन्याः + तु,धन्याः + तु,c
स्विदुत का अर्थ क्या होता है ?,सेवा,नया,सोना,अथवा,d
