संस्कार किसे नियंत्रित करते हैं ?,मानव का जीवन,समाज की व्यवस्था,धार्मिक उन्नति,प्राकृतिक घटनाएँ,a
भारतीयसंस्कार किसका प्रतीक होते हैं ?,अधार्मिक क्रियाएं,आधुनिक परंपराएँ,भारत की संस्कृति,स्वदेशी विचार,c
संस्कारों के मूल उद्देश्य क्या हैं ?,जीवन की शिक्षा,मानव की शुद्धता बनाए रखना,जीवन के लक्ष्यों को प्राप्त करना,समाज के लोगों का सम्मेलन,b
भारतीय संस्कार को मुख्यतः कितने श्रेणियों में बाँटा जाता है ?,दो,ती,पाँच,आठ,c
भारत में कितने संस्कार होते है ?,12,5,18,16,d
शैक्षणिक संस्कारों में कौन सा संस्कार नहीं है ?,अक्षरारम्भ,विवाह,उपनयन,केशान्त,b
जन्मपूर्व संस्कारों में किसका समावेश नहीं है ?,जातकर्म,गर्भाधान,पुंसवन,सीमन्तोनयन,a
विवाह संस्कार में क्या नहीं होता ?,लाजाहोम,समावर्तन,सप्तपदी,अग्निस्थापन,b
शैशव संस्कारों में क्या नहीं आता ?,जातकर्म,नामकरण,निष्क्रमण,केशांत,d
शैक्षणिक संस्कारों में किसका समावेश नहीं है ?,उपनयन,वेदारम्भ,अन्नप्राशन,केशान्त,c
समावर्तन संस्कार का उद्देश्य क्या है ?,गृहस्थ जीवन में प्रवेश,शिक्षा आरंभ करना,शिष्य को सम्मान देना,समाज में मान्यता,a
विवाह संस्कार में किस कार्य का आयोजन नहीं होता ?,सिन्दूरदान,वाग्दान,गोदान,पाणिग्रहण,c
संस्कारों का मूल उद्देशीय क्या है ?,पारंपरिक जीवन जीना,गुणों का विकास,आध्यात्मिक उन्नति,दोषयुक्त होना,b
संस्कारों के द्वारा कौन सा लाभ होता है ?,व्यक्तित्व निर्माण,दोष दूर होना,परिवार के सदस्यों का सम्मेलन,उपरोक्त सभी,d
गोदान किस संस्कार का हिस्सा है ?,सीमन्तोनयन,विवाह संस्कार,केशान्त,निष्क्रमण,c
भारतीय संस्कार जीवन के किस क्षेत्र से संबंधित हैं ?,धार्मिक,सांस्कृतिक,सामाजिक,उपरोक्त सभी,d
कौन सा संस्कार गर्भवती स्त्री के प्रसन्नता की कल्पना करता है ?,जातकर्म,गर्भाधान,सीमन्तोनयन,पुंसवन,c
किस संस्कार से मनुष्य वस्तुतः गृहस्थ जीवन में प्रवेश करता है ?,उपनयन,विवाह,केशान्त,अन्त्येष्टि,b
अन्त्येष्टि संस्कार कब किया जाता है ?,जन्म से पहले,गुरु गृह में प्रवेश करते समय,विवाह से पहले,मृत्यु के बाद,d
सम् + कृ + घञ् = ?,संस्कारः,संघनन,संक्षिप्त,संस्कृति,a
उत् + नी + ल्युट् = ?,उन्नति,उत्तम,उन्नयनम्,उपनयनम्,c
निष्क्रमणम् का अर्थ क्या होता है ?,निर्दोष,बाहर निकलना,नया बनाना,दोष दूर करना,b
अभिज्ञानम् का अर्थ क्या होता है ?,पहचान,ज्ञान,अनुभव,आज तक,a
दोषापनयने का संधि विच्छेद क्या होगा ?,दोषाप् + नयने,दोषाः + अपनयने,दोषः + अपनयनम्,दोष + अपनयने,d
दा + ल्युट् = ?,दाता,दानम्,दत्वा,दातव्य,b
पाठ + घञ् = ?,पाठकः,पढ़ना,पाठ्यः,पाठः,d
किसने भारतीय संस्कारों के गौरव के उद्देश्य से कहा था - यूनान-मिस्र-रोम सब मिट गये जहाँ से कुछ बात है की हस्ती मिटती नहीं हमारी।,महात्मा गांधी,मोहम्मद रफी,रवींद्रनाथ टैगोर,मौलाना एकवाल,d
