संस्कृत साहित्य में लेखिकाओं का योगदान किस काल में प्राप्त होता है ?,प्राचीन काल,मध्यकाल,आधुनिक काल,उपरोक्त सभी,d
संस्कृत साहित्य में किसका योगदान है ?,पुरुषों,स्त्रियों,उपरोक्त दोनों,किसी की नहीं,c
वैदिक काल में स्त्री लेखिकाओं में कौन शामिल थी ?,यमी,अपाला,उर्वशी,उपरोक्त सभी,d
याज्ञवल्क्य की पत्नी कौन थी ?,मैत्रेयी,गार्गी,सुलभा,इन्द्राणी,a
जनक की सभा में कौन शास्त्रार्थ-निपुण थी ?,विजयभट्टारिका,गार्गी,मैत्रेयी,विजयाङ्का,b
लोकसंस्कृत साहित्य में कितनी कवित्रियों के स्पष्ट प्रमाण मिलते है ?,24,40,10,5,b
विजयाङ्का का काल कौन सा था ?,आठवीं शताब्दी,नवीं शताब्दी,12वीं शताब्दी,14वीं शताब्दी,a
विजयाङ्का किस वर्ण की थी ?,गोरा,श्याम,लाल गोरा,सावली,b
दक्षिण भारतीय संस्कृत लेखिकाओं में कौन प्रसिद्ध थी ?,श्यामवर्णा,शीला भट्टारिका,विजयाङ्का,गार्गी,b
मधुराविजयम् नामक महाकाव्य की रचना किसने की थी ?,विजयभट्टारिका,विजयाङ्का,वागाम्भृणी,गंगादेवी,d 
संस्कृत गद्य में कौन सा साहित्य विशेष रूप से प्रयोग होता है ?,ललितपदविन्यास,संस्कृतकाव्य,वेद,उपनिषद,a
वरदाम्बिका परिणय नामक प्रौढ़ चंपूकाव्य की रचना किसने की थी ?,गार्गी,विजयभट्टारिका,तिरूमलाम्बा,विजयाङ्का,c 
20वीं शताब्दी में प्रसिद्ध संस्कृत लेखिका कौन थीं ?,क्षमाराव,विजयङ्का,गार्गी,शीला भट्टारिका,a
'शङ्करचरितम्' ग्रंथ किसने लिखा ?,पण्डिता क्षमाराव,शंकरपाण्डुरंगपण्डित,गार्गी,विजयङ्का,a
पण्डिता क्षमाराव ने किस पुस्तक का लेखन किया ?,विचित्रपरिषद्यात्रा,शङ्करचरितम्,ग्रामज्योतिः,सत्याग्रहगीता,b
'विचित्र-परिषद्यात्रा' किसने लिखा है ?,पण्डिता क्षमाराव,पुष्पादीक्षित,मिथिलेश कुमारी,इन्द्राणी,a
गान्धिदर्शन से प्रभावित कौन सी लेखिका थी ?,पण्डिता क्षमाराव,गार्गी,मैत्रेयी,विजयाङ्का,a
कौन सी लेखिका वर्तमान काल में संस्कृत साहित्य की रचनाएं कर रही हैं ?,देवीकुमारिका,गार्गी,पुष्पादीक्षित,श्यामवर्णा,c
'सत्याग्रहगीता' किसने लिखा ?,पण्डिता क्षमाराव,गार्गी,विजयङ्का,श्यामवर्णा,a
ऋग्वेद में कितने ऋषि-स्त्रियों का प्रमाण मिलता है ?,10,24,29,36,b
पण्डिता क्षमराव का जन्म कब हुआ था ?,1800,1856,1890,1914,c
अधुना का अर्थ क्या होता है ?,अभी,बाद में,पहले,कभी-कभी,a
प्रवृतयः का अर्थ क्या होता है ?,कार्य,ज्ञान,प्रयास,आदि,d
वेदान्तानुशीलनपरायाः का संधि विच्छेद क्या होगा ?,वेदान्त + अनुशीलनपरायाः,वेद + अन्त + अनुशीलनपरायाः,वेदान्त + अनु + शीलनपरायाः,वेदान्तः + नुशीलनपरायाः,a
इतस्ततो का संधि विच्छेद क्या होगा ?,इति + ततः,इतः + तः,इतः + ततः,इति + तः,c 
स्वपितुः में कौन सा समास है ?,सप्तमी तत्पुरुष,कर्मधारयः,बहुव्रीहिः,षष्ठी तत्पुरुष,d
वैदिकयुगे में कौन सा समास है ?,तृतीया तत्पुरुष,बहुव्रीहिः,कर्मधारयः,षष्ठी तत्पुरुष,c 
स्फुटरूपेण का अर्थ क्या होता है ?,बेकार,स्पष्ट रूप से,सुंदर रूप से,मनमोहक रूप से,b
भार्या का अर्थ क्या होता है ?,पत्नी,माता,बहन,पुत्री,a
लेखक + टाप् = ______ ।,लेखकतप,लेख,लेखनीय,लेखिका,d
