गुणाकर मुले का जन्म कब हुआ?,1930 ई०,1935 ई०,1940 ई०,1950 ई०,b
गुणाकर मुले का जन्म स्थान कौन सा है?,दिल्ली,महाराष्ट्र,गुजरात,उत्तर प्रदेश,b
गुणाकर मुले की प्रारंभिक शिक्षा किस भाषा में हुई?,हिंदी,अंग्रेजी,मराठी,संस्कृत,c
गुणाकर मुले ने किस विषय में एम० ए० किया?,गणित,भौतिकी,सामाजिक विज्ञान,अर्थशास्त्र,a
गुणाकर मुले का निधन कब हुआ?,2005 में,2009 में,2010 में,2015 में,b
गुणाकर मुले ने कितनी पुस्तक प्रकाशित की हैं?,10,150,2500,30,d
गुणाकर मुले की कृति कौन सी है? जिसमें उन्होंने संसार की प्रायः सभी प्रमुख पुरालिपियों की विस्तृत जानकारी दी है।,अक्षर कथा,गणित का इतिहास,भारतीय संस्कृति,प्राचीन भारत का इतिहास,a
गुणाकर मुले ने कौन से विषय पर लेखन किया?,खगोल विज्ञान,पुरलिपिशास्त्र,विज्ञान का इतिहास,इनमें सभी,d
गुणाकर मुले की पुस्तक 'अक्षर कथा' किस विषय पर है?,पुरालिपियाँ,साहित्य,विज्ञान,इतिहास,a
गुणाकर मुले ने कितने लेख लिखे हैं?,1000,2000,2500,3000,c
गुणाकर मुले की एक कृति 'सौर मंडल' किस विषय से संबंधित है?,गणित,खगोल विज्ञान,भौतिकी,जीव विज्ञान,b
गुणाकर मुले ने किस विषय पर लेखन किया है?,विज्ञान का इतिहास,समाजशास्त्र,राजनीति,भूगोल,a
गुणाकर मुले की किस पुस्तक में पुरालिपियों की जानकारी दी गई है?,भारतीय लिपियों की कहानी,अक्षर कथा,गणित का इतिहास,महान वैज्ञानिक,b
गुणाकर मुले का कार्यक्षेत्र कितना व्यापक है?,सिर्फ गणित में,गणित और विज्ञान में,किसी विशेष विषय में,किसी विषय में भी नहीं,b
गुणाकर मुले ने कितने वर्षों तक लेखन कार्य किया?,20,25,30,35,b
गुणाकर मुले ने वर्धा में कितने वर्षों तक नौकरी की?,एक,दो,तीन,चार,b
