डॉ रामविलास शर्मा का जन्म कहाँ हुआ था?,"दुर्ग, छत्तीसगढ़ में","मुजफ्फरपुर, बिहार में","नागरा, बलिया में","उन्नाव, उंचगांव सानी में",d
डॉ रामविलास शर्मा का जन्म कब हुआ?,10 अक्टूबर 1912,18 सितमबर 1936,1 जनवरी 1937,2 जुलाई 1925,a 
डॉ रामविलास शर्मा ने किस विश्वविद्यालय से बी ए तथा एम ए किया?,गया,पटना,लखनऊ,नालंदा,c 
उन्होंने 1934 में किस विषय में एम० ए० किया ?,हिंदी साहित्य,अंग्रेजी साहित्य,इतिहास,भाषाविज्ञान,b
कब से कब तक डॉ रामविलास शर्मा जी ने लखनऊ विश्वविद्यालय के अंग्रेज़ी विभाग में अध्यापन कार्य किया?,1937 से 1941,1948 से 1923,1955 से 1957, 1938 से 1943,d 
1974 में डॉ० रामविलास शर्मा ने किस संस्था से सेवानिवृत्ति ली ?,लखनऊ विश्वविद्यालय,के० एम० हिंदी संस्थान,आगरा कॉलेज,भारतीय प्रगतिशील लेखक संघ,b
डॉ रामविलास शर्मा 1949 से 1953 तक किस संगठन के महामंत्री थे ?,भारतीय प्रगतिशील लेखक संघ,हिंदी साहित्य सभा,अंग्रेजी साहित्य परिषद,भारतेन्दु समिति,a
डॉ० रामविलास शर्मा ने बलवंत राजपूत कॉलेज में कब तक अध्यापन किया ?,1971,1974,1980,1965,a
डॉ० रामविलास शर्मा भारतीय प्रगतिशील लेखक संघ के महामंत्री कब से कब तक रहें ?,1949-1953,1950-1955,1945-1950,1953-1958,a
डॉ० रामविलास शर्मा का निधन कहाँ हुआ था ?,आगरा,लखनऊ,दिल्ली,उन्नाव,c
डॉ० रामविलास शर्मा का निधन कब हुआ ?,30 मई 2000,10 अक्टूबर 1974,15 अगस्त 1985,2 अक्टूबर 1995,a
उनकी गद्य शैली की क्या विशेषता थी ?,काव्यात्मकता,पारदर्शिता और तथ्य,जटिलता,तर्कसंगत दृष्टिकोण,b
मार्क्सवादी दृष्टिकोण का उपयोग उन्होंने किस क्षेत्र में किया ?,साहित्य विश्लेषण,भाषाविज्ञान,इतिहास,आधुनिकता,b
प्रगति विरोधी हिंदी आलोचना में उनका क्या योगदान था ?,साहित्य में भ्रांतियाँ दूर करना,नई काव्य शैली लाना,अंग्रेजी साहित्य की आलोचना,प्राचीन परंपरा का संरक्षण,a
रामविलास शर्मा को साहित्य अकादमी पुरस्कार किस रचना के लिए मिला ?,आचार्य रामचंद्र शुक्ल और हिंदी आलोचना,निराला की साहित्य साधना,भारत की भाषा समस्या,नयी कविता और अस्तित्ववाद,b
'प्रेमचंद और उनका युग' पुस्तक किसकी रचना है ?,डॉ० रामविलास शर्मा,महावीर प्रसाद द्विवेदी,आचार्य रामचंद्र शुक्ल,भारतेंदु हरिश्चंद्र,a
'बड़े भाई' किसकी प्रमुख रचनाओं में शामिल है ?,महावीर प्रसाद द्विवेदी,डॉ० रामविलास शर्मा,प्रेमचंद,भारतेंदु हरिश्चंद्र,b
'परंपरा का मूल्यांकन' निबंध का विषय क्या है ?,साहित्य और समाज का परस्पर संबंध,आधुनिकता का प्रभाव,भाषा और समाज का विकास,साहित्य में परंपरा का स्थान,a
'परंपरा का मूल्यांकन' निबंध किस पुस्तक से लिया गया है ?,आचार्य रामचंद्र शुक्ल और हिंदी आलोचना,भारत की भाषा समस्या,परंपरा का मूल्यांकन,नयी कविता और अस्तित्ववाद,c
'नयी कविता और अस्तित्ववाद' किसकी रचना है ?,महावीर प्रसाद द्विवेदी,डॉ० रामविलास शर्मा,भारतेंदु हरिश्चंद्र,प्रेमचंद,b
उन्होंने हिंदी जीवनी साहित्य में क्या योगदान दिया ?,भाषाविज्ञान का समावेश,नया आयाम,तर्कसंगत दृष्टि,काव्यात्मक शैली,b
