भीमराव अंबेडकर का जन्म कब हुआ था?,12 जनवरी 1891,14 अप्रैल 1891,1 जनवरी 1901,25 दिसंबर 1891,b
बाबा साहेब भीमराव अंबेडकर का जन्म स्थान कौन सा था?,दिल्ली,मुंबई,"महू, मध्यप्रदेश",पुणे,c
भीमराव अंबेडकर को प्रोत्साहन देकर उच्चतर शिक्षा के लिए किसने भेजा?,गांधी जी,बड़ौदा नरेश,नेहरू जी,सुभाष चंद्र बोस,b
भीमराव अंबेडकर ने उच्च शिक्षा कहां से प्राप्त की?,पेरिस,टोक्यो,न्यूयार्क और लंदन,मॉस्को,c
भीमराव अंबेडकर ने किन तीन व्यक्तियों से प्रेरणा प्राप्त की?,"बुद्ध, महावीर, राम","कबीर, गुरु नानक, विवेकानंद","बुद्ध, कबीर, ज्योतिबा फुले","गांधी, नेहरू, पटेल",c
भारत के संविधान के निर्माण में भीमराव अंबेडकर का क्या योगदान था?,वे संविधान सभा के अध्यक्ष थे,वे संविधान सभा के सदस्य थे,वे भारतीय संविधान के निर्माता माने जाते हैं,वे इसका विरोध कर रहे थे,c
भीमराव अंबेडकर की मृत्यु कब हुई?,नवंबर 1955,दिसंबर 1956,जनवरी 1957,अक्टूबर 1956,b
भीमराव अंबेडकर की प्रमुख कृति 'एनीहिलेशन ऑफ कास्ट' का हिंदी रूपांतर किसने किया?,प्रेमचंद,ललई सिंह यादव,रामधारी सिंह दिनकर,हजारी प्रसाद द्विवेदी,b
'एनीहिलेशन ऑफ कास्ट' भाषण कहाँ दिया जाना था?,दिल्ली,लखनऊ,लाहौर,पुणे,c
'एनीहिलेशन ऑफ कास्ट' का उद्देश्य किस सामाजिक समस्या पर आधारित था?,धार्मिक भेदभाव,जातिगत भेदभाव,आर्थिक असमानता,भाषाई भेदभाव,b
भीमराव अंबेडकर ने किस धर्म को अपनाया था?,इस्लाम,ईसाई धर्म,बौद्ध धर्म,सिख धर्म,c
अंबेडकर द्वारा किस वर्ष धर्म परिवर्तन किया गया था?,1954,1956,1958,1960,b
'द कास्ट्स इन इंडिया' पुस्तक किसने लिखी?,महात्मा गांधी,ज्योतिबा फुले,भीमराव अंबेडकर,जवाहरलाल नेहरू,c
भीमराव अंबेडकर ने निम्नलिखित में से किसे अधिकार दिलाने के लिए संघर्ष किया?,ब्राह्मणों,"अछूतों, स्त्रियों और मजदूरों",किसानों,व्यापारी वर्ग,b
भीमराव अंबेडकर की किस पुस्तक में भारतीय समाज में जाति प्रथा के विषमतापूर्ण आधारों पर विचार किया गया है?,'थाट्स ऑन लिंग्युस्टिक स्टेट्स','द राइज एंड फॉल ऑफ द हिन्दू वीमेन','एनीहिलेशन ऑफ कास्ट','बुद्धा एण्ड हिज धम्मा',c
भीमराव अंबेडकर के किस कार्य के कारण उन्हें भारतीय संविधान का निर्माता कहा जाता है?,वकालत,शिक्षा,संविधान निर्माण में योगदान,धर्म परिवर्तन,c
भीमराव अंबेडकर की कौन सी पुस्तक स्त्रियों की स्थिति पर आधारित है?,'द अनटचेबल्स','द राइज एंड फॉल ऑफ द हिन्दू वीमेन','एनीहिलेशन ऑफ कास्ट','बुद्धिज्म एंड कम्युनिज्म',b
भीमराव अंबेडकर के अनुसार भारतीय समाज में किसके नाम पर जाति प्रथा बना हुआ हैं?,श्रम विभाजन,धर्म,आर्थिक स्थिति,शिक्षा,a
भीमराव अंबेडकर की 'एनीहिलेशन ऑफ कास्ट' पुस्तक को मूल रूप में किस रूप में तैयार किया गया था?,पत्र,भाषण,कविता,निबंध,b
भीमराव अंबेडकर की प्रमुख रचनाओं का हिंदी में संकलन किस नाम से प्रकाशित हुआ है?,'संविधान निर्माता','अंबेडकर संपूर्ण वाङ्‌मय','दलित उद्धारक','सामाजिक सुधारक',b
जातिवाद के पोषक किस आधार पर इसका समर्थन करते हैं?,सामाजिक संरचना,धार्मिक आधार,कार्य कुशलता,आर्थिक विभाजन,c
जाति प्रथा का कौन-सा रूप अस्वीकार्य है?,कार्य कुशलता,श्रम विभाजन,श्रमिक विभाजन,धार्मिक विभाजन,c
जाति प्रथा के श्रम विभाजन को किस पर आधारित माना गया है?,व्यक्तिगत क्षमता,व्यक्तिगत रुचि,माता-पिता का पेशा,श्रम की आवश्यकता,c
जाति प्रथा का दूषित सिद्धांत क्या है?,व्यक्तिगत स्वतंत्रता,माता-पिता के सामाजिक स्तर पर आधारित पेशा,कुशल श्रमिक का निर्माण,श्रमिक वर्गों का विकास,b
जाति प्रथा किस कारण बेरोजगारी का कारण बनती है?,श्रम विभाजन,पेशा परिवर्तन की अनुमति न देना,कुशलता का अभाव,तकनीक का विकास,b
जाति प्रथा की एक विशेषता क्या है?,व्यक्तिगत स्वतंत्रता,वर्गों में ऊँच-नीच का विभाजन,कार्य कुशलता का विकास,धार्मिक भेदभाव,b
श्रम विभाजन की दृष्टि से जाति प्रथा किस प्रकार दोषपूर्ण है?,कुशलता का विकास करती है,मनुष्य की स्वेच्छा पर निर्भर रहती है,व्यक्तिगत रुचि का महत्व नहीं होता,सभी वर्गों में समानता का विकास करती है,c
जाति प्रथा की तुलना में श्रम विभाजन का स्वाभाविक रूप किस पर आधारित होता है?,व्यक्तिगत रुचि,धार्मिक मान्यता,सामाजिक संरचना,अर्थव्यवस्था,a
आधुनिक युग में श्रम विभाजन की आवश्यकता क्यों है?,कार्य कुशलता बढ़ाने के लिए,आर्थिक असमानता कम करने के लिए,श्रमिक वर्गों का विभाजन करने के लिए,समाज में ऊँच-नीच बढ़ाने के लिए,a
जाति प्रथा किस प्रकार मनुष्य की स्वाभाविक प्रेरणा को दबा देती है?,कुशलता का विकास करके,अस्वाभाविक नियमों में जकड़कर,आर्थिक विकास करके,धार्मिक भेदभाव बढ़ाकर,b
जाति प्रथा का श्रमिकों पर क्या प्रभाव पड़ता है?,उनकी क्षमता बढ़ती है,उनमें अस्वाभाविक विभाजन होता है,सभी को समानता मिलती है,उनकी स्वेच्छा से पेशा बदलने की अनुमति मिलती है,b
जाति प्रथा के कारण श्रमिक वर्गों में क्या विभाजन होता है?,धार्मिक विभाजन,भाषाई विभाजन,अस्वाभाविक विभाजन,आर्थिक विभाजन,c
जाति प्रथा का सबसे बड़ा दोष क्या है?,धार्मिक असमानता,श्रमिकों का स्वाभाविक विभाजन,व्यक्तिगत क्षमता का विकास,श्रमिकों का अस्वाभाविक विभाजन,d
जाति प्रथा किस प्रकार बेरोजगारी को बढ़ावा देती है?,श्रमिकों को पेशा बदलने की अनुमति देकर,पेशा परिवर्तन की अनुमति न देकर,श्रमिकों को कुशल बनाकर,श्रमिकों की क्षमता का विकास करके,b
जाति प्रथा के विरुद्ध आदर्श समाज किस पर आधारित होना चाहिए?,धार्मिक स्वतंत्रता,जातिवाद,स्वतंत्रता,समाजवाद,c
आदर्श समाज में कौन सा गुण अनिवार्य है?,अर्थव्यवस्था,भाईचारा,अराजकता,जातिवाद,b
लोकतंत्र को किस प्रकार की जीवनचर्या कहा गया है?,अराजक जीवनचर्या,धार्मिक जीवनचर्या,सामूहिक जीवनचर्या,वर्गीय जीवनचर्या,c
लोकतंत्र किस प्रकार का शासन है?,धार्मिक शासन,आर्थिक शासन,सामूहिक अनुभवों का आदान-प्रदान,व्यक्तिगत शासन,c
लोकतंत्र में किसका सम्मान आवश्यक है?,धार्मिक मान्यता का,सामाजिक स्तर का,साथियों के प्रति श्रद्धा और सम्मान का,धन संपत्ति का,c
श्रम विभाजन और जाति प्रथा में मुख्य अंतर क्या है?,जाति प्रथा व्यक्तिगत रुचि पर आधारित है,श्रम विभाजन अस्वाभाविक विभाजन करता है,श्रम विभाजन स्वाभाविक होता है,जाति प्रथा श्रमिकों की क्षमता बढ़ाती है,c
'पोषक' का सही अर्थ क्या है?,समर्थक,आलोचक,प्रतिकूल,उपेक्षा,a
इनमें से कोण विशेषण है?,विद्यार्थी,होशियार,खेलना,किताब,b
'भ्रातृत्व' का सही अर्थ क्या है?,दुश्मनी,भाईचारा,अकेलापन,विद्वेष,b
निम्नलिखित वाक्य में क्रिया का रूप क्या है: तुमने खेला है?,वर्तमान काल,भूतकाल,भविष्यत काल,सिद्धांत काल,b
'विडंबना' का अर्थ क्या है?,खुशी,उपहास,सहारा,उम्मीद,b
कोन-सा वाक्य संयुक्त वाक्य है?,मुझे खाना चाहिए।,वह गाना गा रही है और नाच रही है।,वह स्कूल गई।,वह खुश है.,b
'उत्पीड़न' का अर्थ क्या होता है?,राहत देना,यंत्रणा देना,सहारा देना,प्यार करना,b
इस वाक्य में क्रिया का रूप क्या है: वह दौड़ रहा है?,वर्तमान काल,भूतकाल,भविष्यत काल,सिद्धांत काल,a
'दोष' का क्या अर्थ है?,गुण,कमी,प्रयास,संकल्प,b
'मेरे दोस्त ने मेरी मदद की।' वाक्य में कौन सा अव्यय है?,मदद,ने,मेरे,की,b
